id,surface,path_or_slug,status_label,severity,n,notes,evidence
ENG-LINT-HOOK,engineering,src/lib/decision-graph/semantic-quality.ts,lint_error,HIGH,2,"Helper useCaseOverlap trips react-hooks/rules-of-hooks. npx eslint on this file exit 1. False positive; CI lint fails. Runtime unaffected.",live eslint 2026-09-10
CAT-GAP,brands,"amazfit;samsung;decathlon",catalog_gap_fixed,CLOSED,0,"Fix 75 onboarded current Running SKUs. Hubs READY. Trail 10 remains MEDIA_GATED (no licensed hero).",fixes/75-running-catalog-gaps.md
ALT-UNEXPLAINED,alternatives,"ciele-gocap-athletics;brooks-notch-thermal-beanie;horizon-t202-treadmill;woodway-curve-trainer",THIN_UNEXPLAINED,MEDIUM,4,"Fail canPublishAlternativesPage with >=3 cluster peers and no explicit hold. Clothing/fitness not INDEXABLE alts. Breaks Fix 65 0-unexplained bar.",rc-zero-debt/inventory.json
IMG-QUALITIES,engineering,next.config.ts,qualities_allowlisted,CLOSED,0,"Fix 76: images.qualities [65,70,75] = thumb/card/hero+Next default. No extra qualities. Optimizer 200 for those q; 400 for 80/100.",fixes/76-next-image-qualities.md
MEDIA-INGEST,media,on-ultra-vest-pro,extreme_masters_fixed,CLOSED,0,"Fix 77: vest gallery 8-15MB PNG → 122-262KB JPEG 1600px; glycerin-22-hero 5.2MB PNG → 216KB JPEG 2000x1333. public/images >5MB = 0. Provenance sourceUrl retained.",fixes/77-media-ingest-hygiene.md
MEDIA-GALLERY-REMAINDER,media,PRODUCT_GALLERY_MEDIA,weak_gallery_depth,LOW,346,"23/369 INDEXABLE products have registered gallery extras (92 files). Fix 21 did not fill all 623. Authentic primaries 625/625.",inventory.json galleryDepthIndexable
OFFER-OVERLAY-SAMPLE,commerce,OFFER_URL_VALIDATION,overlay_day1_complete,CLOSED,0,"Fix 79: 404/404 INDEXABLE Running offers overlaid (48 VALID 346 LIKELY_VALID 10 UNKNOWN 0 INVALID). Catalog overlay 433. Remaining 868 are held-vertical.",fixes/79-full-offer-validation.md
UX-NOVABLAST-OVERFLOW,accessibility,/products/asics-novablast-6,mobile_overflow_fixed,CLOSED,0,"Fix 78: compare rail 584px min-content leaked 210px at 390 because wrapper lacked min-w-0. Shared HorizontalPeekRail + snap/fade. Novablast/Vomero/Glycerin leak=0.",fixes/78-final-a11y-mobile.md
A11Y-IMG-DISABLE,engineering,src/components/**,eslint_disable,LOW,12,"next/img eslint-disable on SVG/logo/wordmark marks (BrandMark SearchResultCards GearHub Discipline). Intentional for non-photo marks.",src grep eslint-disable
ENG-CONSOLE-DEBUG,engineering,src/domain/calculators/analytics.ts;src/domain/shoe-rotation/share-state.ts,console_debug,LOW,2,"console.debug analytics only; no console.log in src/.",src grep
ENG-FINDER-TODO,engineering,src/domain/finders/configs/running-shoe-finder.ts,todo_comment,LOW,1,"TODO: validate/tune scoring against expert-labeled recommendation scenarios. Finder ships; scoring not empirically tuned.",src/domain/finders/configs/running-shoe-finder.ts:17
REV-DURO-DYNA-MONITOR,reviews,/reviews/osprey-duro-6;/reviews/osprey-dyna-6,NEEDS_DIFF_monitor,LOW,2,"Truncated token-Jaccard 0.752 on gendered twin vests. Assessor READY. V3 full method did not flag. Not a rewrite queue.",inventory.json uniquenessIndexable
MEDIA-MASTERS-1MB,media,public/images,oversized_source_policy,LOW,2817,"2817 files >1MB after Fix 77 (was 2822). Almost all review-section PNGs. >5MB = 0. Do not batch-recompress. Serve via next/image.",fixes/77-media-ingest-hygiene.md; find -size +1M
A11Y-AXE-INCOMPLETE,accessibility,header;search,axe_incomplete_classified,CLOSED,0,"Fix 78: dumped nodes. aria-controls More menu (dynamic) fixed. Search incomplete=0. Home remaining color-contrast incomplete is axe bgGradient on hero photo — not a violation.",fixes/78-final-a11y-mobile.md
UX-COOKIE-CHIP,accessibility,cookie_overlay,third_party,CLOSED,0,"Fix 78: no CMP in production next start; nChips=[]. Fix 71 N was Next.js dev indicator. devIndicators.position bottom-right for local next dev.",fixes/78-final-a11y-mobile.md
SEO-SITEMAP-INCREMENT,seo,sitemap,unprobed_increment,LOW,49,"Sitemap grew ~1106 to 1155 after Fix 60 HTTP probe. Prior 1106/1106 200. Increment not re-probed this clock.",inventory.json sitemap.urls vs rc-60 probe
HOLD-VERT-PRODUCTS,products,/products/*,vertical_hold,INTENTIONAL_HOLD,256,"Fitness/padel/tennis/hyrox published SKUs. Hub may exist; deep PDP not Day-1 INDEXABLE. 139 of these are still LAUNCH_READY quality.",inventory.json products
HOLD-VERT-REVIEWS,reviews,/reviews/*,vertical_hold,INTENTIONAL_HOLD,218,"Editorial READY 585/585. Held only because product sport is not Day-1 enabled.",inventory.json reviews
HOLD-VERT-BEST,best,/best/*,vertical_hold,INTENTIONAL_HOLD,14,"All 14 held Best are LAUNCH_READY (padel/tennis/fitness/HYROX). 0 THIN. EDITORIAL_INTENT_HOLD_PATHS empty.",inventory.json best.held
HOLD-VERT-GUIDES,guides,/guides/*,vertical_hold,INTENTIONAL_HOLD,27,"All 69 guides assessor complete. Non-Running not INDEXABLE.",inventory.json guides
HOLD-VERT-COMPARISONS,comparisons,/compare/*,vertical_hold,INTENTIONAL_HOLD,29,"Published 94/94 MEANINGFUL. Non-Running pairs wait on vertical.",inventory.json comparisons
