surface,dimension,running_reference,padel_diagnostic,gap,cause,notes
PDP,hero_gallery,Novablast hero plus side and outsole from ASICS Scene7,Vertex front hero only until this pass; five additional PadelUSA angles now registered in the shared gallery store,closed_for_vertex_open_for_rest_of_vertical,MISSING_MEDIA,Same gallery merger already runs for every product via resolveRunningProductImages. Other padel SKUs still have a single photograph.
PDP,unique_images_above_fold,3 distinct photographs in the gallery,1 photograph repeated as the only frame,data,MISSING_MEDIA,File-hash crops under sections/ are the same front photo. They do not count.
PDP,score_presentation,9.0 Excellent with Comfort Energy Cushion Versatility Grip in the hero,No score in the hero. Attributes existed and were withheld because racket build sets recommendationScore undefined,closed_in_template,COMPONENT_NOT_RENDERING_DATA,Hero now shows the published review score and padel decision gauges. Disclosure stays expert research not a hitting test.
PDP,spec_richness,Weight drop stack cushion stability terrain plate upper midsole outsole,Shape balance weight face core were stored. Frame texture feel sweet spot and level were in the draft but not in the featured strip. Weight and level tags used keys that did not match the spec,closed_in_template,COMPONENT_NOT_RENDERING_DATA,Featured keys and hero tags now use shape weightMin balance playerLevel frame surface feel sweet spot when the value exists. Missing values stay blank.
PDP,best_for_not_ideal,Present and specific to daily training vs stability,Present on Vertex from the racket draft,none,NONE,Copy is product-specific. Do not replace it with generic lines.
PDP,commerce,From EUR 149 and 4 in-stock NL retailers,From EUR 319 and 1 retailer,open,MISSING_COMMERCE,The price template already renders. The gap is offer coverage not a hidden price field. Do not invent retailers.
PDP,alternatives_and_family,Ghost Clifton Ride plus Novablast family,Hybrid Hack Vertex 04 Metalbone,none,NONE,Peers render. They are single-hero cards.
PDP,section_order,Overview scores pros technologies use-cases review compare alternatives specs family buy sources,Overview how-it-plays decision pros use-cases review compare alternatives specs family buy sources,semantic_difference,NONE,Padel order is the right sport analogue. It was weaker because the hero score and gallery depth were missing not because the section list was short.
Review,hero,Side photograph of the Novablast with FF Turbo visible,Front photograph of the Vertex,partial,MISSING_MEDIA,Both heroes are authentic. Vertex had no second angle on the page.
Review,image_placement,Section images show upper ride outsole durability as different views,23 section files are unique hashes and the same front photograph cropped,closed_in_resolver,MISSING_MEDIA,Padel reviews no longer attach derived section crops. They attach gallery photographs by role: profile shape power texture throat.
Review,word_count_is_not_quality,1784 words,5141 words,false_positive_if_counted,GENERIC_CONTENT_GENERATOR,Vertex review is longer because racketReviewFromDraft stamps a full blueprint. Length hid repeated reasoning and the same photo.
Review,score_breakdown,Cushion ride fit stability durability value grip,Power control forgiveness maneuverability comfort spin stability value,none,NONE,Padel labels are the right semantics. Scores are spec inference and manufacturer claims. The page already says it is not a hitting test.
Review,methodology_copy,Shoe-specific research note,The shared assessment paragraph talked about stack and drop on a racket review,closed_in_template,PADEL_TEMPLATE_LIMITATION,Padel assessment copy now uses shape balance weight face core and level.
Review,commerce,4 priced NL offers on the review,1 priced NL offer,open,MISSING_COMMERCE,Same offer graph as the PDP. Template already lists Where to buy.
Review,comparisons,Novablast 5 Ghost Clifton,Hack 04 and AT10 12K when comparison ids exist,partial,MISSING_EDITORIAL,Comparison blurbs exist for two Vertex pairs. Most other rackets have no comparison page. Do not invent them.
Guide_article,hero_visibility,How to Choose Running Shoes shows a large hero under the title on desktop,Explainer layout hid the hero on desktop behind a white gradient and aria-hidden,closed_in_template,PADEL_TEMPLATE_LIMITATION,Explainer heroes now render as a visible figure on desktop and mobile.
Guide_article,section_visuals,Anatomy diagram outsole comparison and distinct product examples,Diagrams exist in the explainer system. Listing and heroes reused one stock racket,partial,MISSING_MEDIA,Diagrams stay. Heroes are now one asset per guide.
Guide_index,duplicate_cards,Running cards mostly use a different product per topic. Some fuel guides share Maurten,choose-racket.jpg on 10 card slots across shapes balance weight beginner checklist and the choose guide,closed_in_data,MISSING_MEDIA,PADEL_GUIDE_HEROES mapped seven unrelated guides to one stock photo and three shoe guides to one shoe photo. Each knowledge guide now has its own src.
Guide_index,generic_stock,Category photos are topic-specific more often,One unbranded court racket stood in for technical guides,closed_for_knowledge_guides,MISSING_MEDIA,The stock photo remains only on How to Choose a Padel Racket. Other guides use the catalog product that teaches that decision.
Commerce,from_price,Rendered,Rendered,none,NONE,Both PDPs and reviews showed a From price on the local production build. Earlier audits that said padel had no price were stale.
Commerce,retailer_count,4,1,open,MISSING_COMMERCE,Not a binding bug.
Media_contract,unique_count_rule,Gallery source URLs differ,Section png hashes differ but the photograph does not,closed_in_code,OTHER,isDerivedHeroCrop treats /products/*/sections/ as the hero. Unique credit requires a different file that is not that folder.
