id,severity,surface,url,dimension,class,severity,evidence,screenshot,status
ISS-001,high,review,/reviews/bullpadel-vertex-05-2026,editorial maturity,RUNNING_STRONGER,Interchangeable section boilerplate,"HTML contains 48x I'd only keep the and 14x If this section still feels generic — stamped across Construction and Who-should-avoid; Novablast has 0",probe-vertex-section.png,remediated-pending-reaudit
ISS-002,high,review,/reviews/kuikma-pr-comfort-soft,editorial maturity,RUNNING_STRONGER,Same template glue as Vertex,"50x I'd only keep the / 6x feels generic; Construction opens with Soft EVA specs then reuses buy-filter paragraphs",probe-kuikma-section.png,remediated-pending-reaudit
ISS-003,high,review,/reviews/* vs /reviews/asics-novablast-6,unique images,RUNNING_STRONGER,Dedicated /sections/ only on Running,"Novablast review: 6 section files (naturalWidth>0). Vertex/Kuikma/Indiga/Hack: 0 section files; gallery crops only",probe-novablast-section.png;probe-vertex-section.png,open
ISS-004,high,guide,/guides/how-to-choose-a-padel-racket,visual richness,RUNNING_STRONGER,Thinner unique teaching media,"Prior audit compared uniqueImgCount=6 vs running=14; TEACHING-MEDIA RULE now requires concept coverage not img totals — packshots do not count",guide-padel-racket-desktop-full.png;guide-running-shoes-desktop-full.png,remediated-pending-reaudit
ISS-005,medium,guide,/guides/how-to-choose-a-padel-bag,false visual richness,RUNNING_STRONGER,Low unique + repeated product cards,"Prior uniqueImgCount=4; teaching rule ignores cards — bag-anatomy/forms/decision diagrams wired",guide-bags-desktop-full.png,remediated-pending-reaudit
ISS-006,medium,guide,/guides/how-to-choose-padel-balls,false visual richness,RUNNING_STRONGER,Repeated product-card heroes,"Prior uniqueImgCount=5; teaching rule ignores packshots — ball-types/pressurizer diagrams wired",guide-balls-desktop-full.png,remediated-pending-reaudit
ISS-007,medium,guide,/guides/padel-grips-overgrips-explained,visual richness,RUNNING_STRONGER,Thinnest major guide media,"Prior uniqueImgCount=3; grip-vs-overgrip/layers/decision diagrams wired under TEACHING-MEDIA RULE",guide-grips-desktop-full.png,remediated-pending-reaudit
ISS-008,medium,pdp+review,multiple,content specificity,RUNNING_STRONGER,Strength-to-situation machine chips,"Rendered: Players who prefer Manufacturer diamond + 12K / Players who prefer 2026 range notes / Players who prefer Official beginner",pair-pdp-vertex-desktop-top.png;pair-pdp-kuikma-top.png,open
ISS-009,medium,pdp,/products/bullpadel-indiga-ctr-2026,content specificity,RUNNING_STRONGER,Awkward official-colon fragment,"I'd shortlist want the official : round low balance SoftEva and Polyglass",pair-pdp-indiga-top.png,open
ISS-010,low,best,/best/padel-overgrips,content specificity,RUNNING_STRONGER,Awkward Best chip,"Players who prefer default thin padel-length 3-pack.",best-padel-overgrips-desktop-full.png,open
ISS-011,low,best,/best/padel-ball-pressurizers,content specificity,RUNNING_STRONGER,Double person-phrase chip,"Best when you are players who want to restore pressure to opened ball cans",pair-best-pressurizers-hero.png,open
ISS-012,low,pdp,/products/asics-gel-resolution-padel,unique product imagery,RUNNING_STRONGER,Shoe PDP galleryCount=0,"Hero-only above fold despite published shoe; Joma T.Slam shows 2 gallery angles",pair-pdp-shoe-top.png,open
ISS-013,low,pdp,/products/bullpadel-vertex-05-2026,retailer options,RUNNING_STRONGER,Single retailer vs multi,"Vertex Amazon.nl only; Novablast lists three — density gap not missing CTA",pair-pdp-vertex-desktop-top.png,open
ISS-014,info,commerce,multiple PDPs with offers,commerce CTA,PARITY,Offers user-visible,"Vertex Indiga Kuikma Joma bag ball grip show From price + retailer + CTA",pair-pdp-kuikma-top.png;pair-pdp-shoe-top.png,resolved-for-gate
ISS-015,info,pdp,/products/kuikma-pr-comfort-soft,unique product imagery,PARITY,Kuikma gallery now renders,"Desktop shows 6 thumbs including /gallery/ paths",pair-pdp-kuikma-top.png,resolved-vs-prior
ISS-016,info,review,/reviews/bullpadel-vertex-05-2026,visual storytelling,PARITY,Construction image paints,"head.webp naturalWidth=604 complete=true — prior grey placeholder closed",probe-vertex-section.png,resolved-vs-prior
ISS-017,info,review,/reviews/kuikma-pr-comfort-soft,content specificity,PARITY,NOT_PUBLISHED absent,"Construction body has Soft EVA prose; no NOT_PUBLISHED tokens",probe-kuikma-section.png,resolved-vs-prior
ISS-018,info,pdp,/products/joma-t-slam,routing,PARITY,Joma public again,"HTTP 200 PDP+review; From EUR 109; gallery x2",pair-pdp-shoe-top.png,resolved-vs-prior
ISS-019,info,mobile,/products/bullpadel-vertex-05-2026,mobile experience,PARITY,Mobile stack matches Running pattern,"unique=13 gallery=5 at 390x844",pair-pdp-vertex-mobile-top.png,resolved-for-gate
ISS-020,info,best,/best/padel-rackets vs /best/padel-balls,unique media,PARITY,Cross-category Best heroes remain distinct,"Rackets/balls/pressurizers heroes not colliding as prior audit",pair-best-rackets-hero.png;pair-best-balls-hero.png;pair-best-pressurizers-hero.png,resolved-vs-prior
ISS-021,low,guide,multiple Best-guide pairs,unique media,RUNNING_STRONGER,Cross-surface hashed hero reuse,"parity-signoff-guides.json duplicateHeroes lists beginners Best with beginner guide and other Best/explainer pairs",parity-signoff-guides.json,open
ISS-022,low,pdp,/products/bullpadel-frame-protector-uni,information density,NOT_COMPARABLE,Thin accessory PDP,"783 words; honest empty NL commerce; identity correct",pair-pdp-accessory-top.png,open-watch
