URL,entity,surface,before,after,classification_before,classification_after,source,evidence
/products/asics-novablast-5,asics-novablast-5,pdp-best-for,You want soft energetic ride and will rotate or compare against Ghost 16 — that is the Novablast 5's main job,Good for high easy mileage.,MACHINE_LIKE,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-best-for,Most of your sessions match good for high easy mileage more than a do-everything compromise,Road or treadmill shoe and can keep trail jobs elsewhere.,MACHINE_LIKE,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-best-for,You're shopping a road (or treadmill) tool and can keep trail or race-day jobs in other shoes when needed,,WORDY,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-best-for,Soft energetic ride,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-not-ideal-for,You need not a stability shoe — look at Ghost 16 or a clearer specialist instead of forcing the Novablast 5,Runners who need added stability or guidance.,BROKEN,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-not-ideal-for,Your must-haves conflict with a Novablast 5 trade-off: less ideal for fast intervals,Those looking for avoid less ideal for fast intervals.,MACHINE_LIKE,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-not-ideal-for,You need technical trail grip or a dedicated race plate as the primary job — this platform is aimed elsewhere,Those looking for trail grip or a dedicated race plate.,WORDY,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-not-ideal-for,Not a stability shoe,Those looking for Less ideal for fast intervals.,GENERIC,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-5,asics-novablast-5,pdp-buy-if,You want soft energetic ride and will rotate or compare against Ghost 16 — that is the Novablast 5's main job,You're looking for soft energetic ride.,MACHINE_LIKE,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-5,asics-novablast-5,pdp-buy-if,Most of your sessions match good for high easy mileage more than a do-everything compromise,You want good for high easy mileage.,MACHINE_LIKE,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-5,asics-novablast-5,pdp-buy-if,You're shopping a road (or treadmill) tool and can keep trail or race-day jobs in other shoes when needed,You prefer a road or treadmill shoe and can keep trail jobs elsewhere.,WORDY,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-5,asics-novablast-5,pdp-buy-if,,You want soft energetic ride.,MISSING,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-5,asics-novablast-5,pdp-skip-if,You need not a stability shoe — look at Ghost 16 or a clearer specialist instead of forcing the Novablast 5,You need added stability or guidance.,BROKEN,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-5,asics-novablast-5,pdp-skip-if,Your must-haves conflict with a Novablast 5 trade-off: less ideal for fast intervals,You prefer to avoid less ideal for fast intervals.,MACHINE_LIKE,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-5,asics-novablast-5,pdp-skip-if,You need technical trail grip or a dedicated race plate as the primary job — this platform is aimed elsewhere,You're primarily looking for trail grip or a dedicated race plate.,WORDY,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-5,asics-novablast-5,pdp-skip-if,,Less ideal for fast intervals,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-5/alternatives,asics-novablast-5,alternatives-best-for,uc-daily-training,Good for high easy mileage.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-novablast-5/alternatives,asics-novablast-5,alternatives-best-for,uc-long-runs,Road or treadmill shoe and can keep trail jobs elsewhere.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
