category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status,disposition,disposition_reason
accessories,maintenance,4ON,TotalGrip Spray,TotalGrip,current,unisex,anti-slip grip spray 100–200 ml,https://www.4on.store/products/totalgrip/4on-totalgrip-spray,current,https://www.4on.store/products/totalgrip/4on-totalgrip-spray,yes,yes,CURRENT,no,prod-4on-totalgrip,Also listed under grips as enhancer; accessory maintenance/enhancer classification OK.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Adidas,Frame Protector / Protection Tape,Adidas Protector,current,unisex,transparent/branded,https://www.adidas.com,current_retail,https://www.padelmq.com/|https://www.time2padel.com/,likely,yes,CURRENT,yes,prod-adidas-adidas-protector,Adidas padel protectors appear on EU specialist shelves — confirm current model code.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Adidas,Padel Wristband,Adidas Wristband,current,unisex,branded,https://www.adidas.com,current_retail,https://www.padelnuestro.com/,likely,yes,CURRENT,yes,prod-adidas-adidas-wristband,Adidas padel apparel accessories include wristbands — confirm current model.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,Alacran,Training Ball Basket EasyPick,Alacran Basket,current,unisex,foldable basket + EasyPick,https://www.alacran.es,current_retail,https://www.padelmq.com/,yes,yes,CURRENT,yes,prod-alacran-alacran-basket,PadeLMQ category references Alacran training basket — verify exact model name/stock.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Alacran,Wide Wristband,Wide / Ancha,current,unisex,red/white and other colors; 1 piece,https://www.alacran.es,current_retail,https://www.padelmq.com/en/products/alacran-wide-wristband-red-white,yes,yes,CURRENT,no,prod-alacran-wide-ancha,NL PadeLMQ wide sweat wristband — commercially common club accessory.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,other,Babolat / various,Vibration Dampeners,Generic dampeners,current,unisex,button/worm styles,various,current_retail,https://www.totalpadel.com/,yes,yes,UNKNOWN,no,,Category presence; only brand-distinct models needed beyond Smartsorb.,verified,NOT_A_DISTINCT_PRODUCT,Combined multi-brand stub — not a single product identity.
accessories,protector,Babolat,Babolat Frame Protector,Frame Protector,,unisex,,,current,,unknown,yes,UNKNOWN,yes,prod-bullpadel-frame-protector,Investigate Babolat protector SKUs,verified,INSUFFICIENT_EVIDENCE,Major ES specialist Time2Padel protector category shows no Babolat-branded protector SKUs (brand filter absent). No manufacturer padel protector PDP found 2026-09-13.
accessories,protector,Babolat,Frame Protector,Babolat Protector,current,unisex,transparent,https://www.babolat.com,current_retail,https://www.padelnuestro.com/,likely,yes,CURRENT,no,prod-bullpadel-frame-protector-uni,Babolat frame protectors exist in ES specialists; confirm NL listing.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Babolat,Wristband,Babolat Wristband,current,unisex,terry,https://www.babolat.com,current_retail,https://www.babolat.com,likely,yes,CURRENT,yes,prod-babolat-babolat-wristband,Babolat wristbands sold into padel retail.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Ball Rescuer,Ball Rescuer,Ball Rescuer,current,unisex,can-lid adapter + Schrader; uses bicycle pump; 3/4-ball cans,https://www.ballrescuer.com,current,https://bestpadellife.com/the-best-padel-ball-pressurizers-top-3-reviewed-compared/,yes,yes,CURRENT,no,prod-ball-rescuer-ball-rescuer,Budget active adapter reuses ball cans up to ~35 PSI; pump not included.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Ball Rescuer,Ball Rescuer Premium,Premium,,unisex,,,current,https://www.oudetennisballen.com/gb/pascalbox-tennisballsaver-tuboplus-ball-rescuer-gamma-rivive/64-ball-rescuer-0751446339048.html,yes,yes,CURRENT,no,prod-ball-rescuer-premium,NL retailer; converts HEAD/Dunlop cans to pressurizer,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Black Crown,Vibranium Transparent Protector,Vibranium Transparent,current,unisex,transparent branded,https://blackcrownpadel.com,current_retail,https://www.time2padel.com/,yes,yes,CURRENT,no,prod-black-crown-vibranium-transparent,Black Crown Vibranium transparent protector listed alongside other brand tapes.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Black Crown,Wristband,Black Crown Wristband,current,unisex,branded,https://blackcrownpadel.com,current_retail,https://www.padelmq.com/,yes,yes,CURRENT,yes,prod-black-crown-black-crown-wristband,PadeLMQ stocks Black Crown wristbands alongside Alacran.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bounce,Bounce Tube Padel X4,Bounce Padel X4,current,unisex,built-in pump; audible click; 4-ball; ~24 PSI padel,https://www.bounce-tube.com,current,https://www.tennispro.nl/bal-pressurizer-stuiter-padel-x4-840175.html|https://actu-padel.com/en/top-3-padel-ball-pressurizers-for-2026-our-ranking/,yes,yes,CURRENT,no,prod-bounce-bounce-padel-x4,NL Tennispro listing €89.95; French-made integrated-pump pressurizer distinct from Pascal Box/HEAD.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Bullpadel,BPMU252 / BPMU253 Wristbands,BPMU252 / BPMU253,2025,unisex,papaya grey / sky-shadow blue colorways,https://www.bullpadel.com,current,https://www.zonadepadel.com/bullpadel/13826-wristbands-bullpadel-bpmu253-i-sky-blue-shadow-blue.html,yes,yes,CURRENT,no,prod-bullpadel-bpmu252-bpmu253,2025 Bullpadel wristband models to replace vague Kitletics draft.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,Bullpadel,Bullpadel Ball Basket / Cart,Ball Cart,,unisex,,,current,,unknown,yes,UNKNOWN,no,,Investigate training aids,verified,INSUFFICIENT_EVIDENCE,No authoritative Bullpadel ball basket/cart PDP confirmed in manufacturer training-aid navigation this pass; exclude until SKU/reference verified.
accessories,weight_system,Bullpadel,Bullpadel Custom Weight Protector,Custom Weight,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-bullpadel-custom-weight,Existing customization weight protector,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Bullpadel,Bullpadel Frame Protector,Frame Protector,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-bullpadel-frame-protector,Existing 3-pack protector,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Bullpadel,Bullpadel Padel Wristband,Wristband,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-bullpadel-wristband,Existing draft,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bullpadel,Bullpadel Pascal Box Switch 3B,Pascal Box Switch 3B,,unisex,,https://pascalbox.com/,current,https://www.padelnuestro.com/int/padel-accessories/ball-pressurizers,unknown,yes,CURRENT,no,prod-bullpadel-pascal-box-switch-3b,Electric/automatic Switch model — distinct system,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,weight_system,Bullpadel,Custom Weight Grip Cap,Custom Weight Grip,current,unisex,handle-end weight cap system,https://www.bullpadel.com,current,https://www.padelnuestro.com/int/box-12-pcs-blister-3-pcs-protector-bullpadel-custom-weight-black-111273-p,yes,yes,CURRENT,no,prod-bullpadel-custom-weight-grip,Handle-side Custom Weight companion to protector plates — distinct accessory.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Bullpadel,Frame Protector,Frame Protector Uni,current,unisex,black/transparent/white; 1-unit and 3-pack,https://www.bullpadel.com,current,https://www.padelnuestro.com/protector-bullpadel-frame-uni-820-494320-smu,yes,yes,CURRENT,no,prod-bullpadel-frame-protector-uni,Single-unit Frame Protector Uni / Frame Protector TR (EAN 8445402973828). Distinct from prod-bullpadel-frame-protector multi-pack.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,sweatband,Bullpadel,Headband 2025,Bullpadel Headband,2025,unisex,colorways matching BPMU collection,https://www.bullpadel.com,current_retail,https://www.zonadepadel.com/,likely,yes,CURRENT,yes,prod-bullpadel-bullpadel-headband,Bullpadel 2025 apparel accessories include headbands — confirm model codes.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,weight_system,Bullpadel,Metalshield Pro (OEM protector on racket),Metalshield,current,unisex,OEM on Vertex/Hack Pro frames,https://www.bullpadel.com,current,https://www.extreme-tennis.eu/padel-accessories/22424-bullpadel-custom-weight-4-x-3g.html,yes,yes,CURRENT,yes,prod-bullpadel-metalshield,Not a standalone accessory SKU (comes on racket) but enables Custom Weight — document as system context not product row if no aftermarket Metalshield sold alone.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bullpadel,Pascal Box 3B,Pascal Box 3B,current,unisex,manual 3-ball + manometer + pump,https://www.bullpadel.com,current,https://www.padelmq.com/en-nl/products/pascal-box-3b,yes,yes,CURRENT,yes,prod-bullpadel-pascal-box,Manual gauge-regulated 3-ball reference. Kitletics seeded.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bullpadel,Pascal Box 4B,Pascal Box 4B,current,unisex,manual 4-ball manometer system,https://www.bullpadel.com,current,https://www.zonadepadel.com/blog/2026/05/padel-pressurizers-how-they-work-if-theyre-worth-it-and-which-one-to-buy-in-2026/,yes,yes,CURRENT,no,prod-bullpadel-pascal-box-4b,4-ball capacity sibling to 3B; distinct commercial SKU for multi-can households.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bullpadel,Pascal Box PRO,Pascal Box PRO,current,unisex,club/pro automatic (~€950 class),https://www.bullpadel.com,current,https://www.bullpadel.com/gb/6427-pascal-box-switch.html,likely,yes,CURRENT,no,prod-bullpadel-pascal-box-pro,Club/pro tier pressurizer; commercially niche but meaningful for academy segment.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Bullpadel,Pascal Box SWITCH,Pascal Box SWITCH,current,unisex,electric integrated compressor + battery + USB-C; 3-ball,https://www.bullpadel.com/gb/6427-pascal-box-switch.html,current,https://www.bullpadel.com/gb/6427-pascal-box-switch.html|https://www.zonadepadel.com/blog/2026/05/padel-pressurizers-how-they-work-if-theyre-worth-it-and-which-one-to-buy-in-2026/,yes,yes,CURRENT,no,prod-bullpadel-pascal-box-switch,~€130 automatic Pascal Box; compatible with prior 3B/4B cups. High-priority gap.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
