id,surface,path_or_slug,status_label,severity,n,notes,evidence
SEO-SITEMAP-NOINDEX,seo,/products/*/alternatives,sitemap_noindex,HIGH,39,"137 alt URLs in sitemap; 39 emit meta robots noindex,follow while self-canonical HTTP 200. Page indexable bar (substantive alts / reason groups / distinct copy) is stricter than getLaunchEligibility. Remove from sitemap or index if bar is wrong.",rc-81/alt-index-mismatch.json; rc-81/sitemap-http-probe.json
MEDIA-CI-CRASH,engineering,scripts/lib/catalog-media-audit.ts,ci_crash,HIGH,1,"npm run media:ci exit 1. ReferenceError getPrimaryProductMedia is not defined (used at lines 154/263/339, not imported). Identity audit cannot fail-closed.",rc-81/logs/media-ci.log
ENG-LINT-HOOK,engineering,src/lib/decision-graph/semantic-quality.ts,lint_clean,CLOSED,0,"V1 HIGH closed. npx eslint on this file exit 0. Full npm run lint 0 errors.",rc-81/logs/lint.log
ALT-UNEXPLAINED,alternatives,classify-alternatives-hold,unexplained_closed,CLOSED,0,"V1 4 THIN_UNEXPLAINED now 0. Market holds 21 (was 15). Ciele/treadmill SKUs now explicit market or category hold.",rc-81/inventory.json alternatives
IMG-QUALITIES,engineering,next.config.ts,qualities_allowlisted,CLOSED,0,"Fix 76 still in force: images.qualities 65/70/75.",next.config.ts
MEDIA-INGEST,media,public/images,extreme_masters,CLOSED,0,"Fix 77 holds: find -size +5M = 0. Largest remaining ~3.9MB Amazfit hero.",rc-81 find +5M
OFFER-OVERLAY-SAMPLE,commerce,OFFER_URL_VALIDATION,overlay_day1_complete,CLOSED,0,"Live overlay 433: 48 VALID 375 LIKELY_VALID 10 UNKNOWN 0 INVALID. 868 unvalidated = held vertical.",rc-81/inventory.json commerce
UX-NOVABLAST-OVERFLOW,accessibility,/products/asics-novablast-6,mobile_overflow_fixed,CLOSED,0,"Fresh 390 leak=0 Novablast/Vomero/Glycerin. Regression 15/15 leak=0.",rc-81/a11y-mobile.json
SEO-SITEMAP-INCREMENT,seo,sitemap,probed,CLOSED,0,"Fresh HTTP 1174/1174 200. Increment vs Fix 60 is +68 all INDEXABLE. Residual is 39 noindex (see SEO-SITEMAP-NOINDEX).",rc-81/sitemap-http-probe.json
A11Y-AXE-INCOMPLETE,accessibility,header;hubs,axe_incomplete_classified,CLOSED,0,"Not a violation. Home color-contrast incomplete is axe bgGradient on hero. Search incomplete=0. Some hubs also link-in-text-block / aria-prohibited-attr incomplete.",rc-81/p0-lab.json
UX-COOKIE-CHIP,accessibility,cookie_overlay,third_party,CLOSED,0,"Not re-opened. Production next start has no CMP.",fixes/78-final-a11y-mobile.md
MEDIA-GALLERY-REMAINDER,media,PRODUCT_GALLERY_MEDIA,weak_gallery_depth,LOW,352,"23/375 INDEXABLE products have registered gallery extras. 352 hero-only. Authentic primaries 631/631.",rc-81/inventory.json galleryDepthIndexable
A11Y-IMG-DISABLE,engineering,src/components/**,eslint_disable,LOW,20,"@next/next/no-img-element on SVG/logo/wordmark (SearchResultCards GearHub Discipline BrandMark BrandCard GuideConcept). Plus 4 exhaustive-deps. Intentional for non-photo marks.",src grep eslint-disable
ENG-CONSOLE-DEBUG,engineering,src/domain/calculators/analytics.ts;src/domain/shoe-rotation/share-state.ts,console_debug,LOW,2,"console.debug analytics only; no console.log in src/.",src grep
ENG-FINDER-TODO,engineering,src/domain/finders/configs/running-shoe-finder.ts,todo_comment,LOW,1,"TODO: validate/tune scoring against expert-labeled recommendation scenarios. Finder ships; scoring not empirically tuned.",running-shoe-finder.ts:17
REV-DURO-DYNA-MONITOR,reviews,/reviews/osprey-duro-6;/reviews/osprey-dyna-6,NEEDS_DIFF_monitor,LOW,2,"Truncated token-Jaccard 0.752 on gendered twin vests. Assessor READY. Not a rewrite queue.",rc-81/inventory.json uniquenessIndexable
MEDIA-MASTERS-1MB,media,public/images,oversized_source_policy,LOW,2817,"2817 files >1MB. >5MB = 0. Do not batch-recompress. Serve via next/image.",find -size +1M
ENG-TEST-TIMEOUT,engineering,tests/*sitemap*,test_timeout,LOW,6,"Six tests that call sitemap()/full eligibility timeout at vitest 120s under default workers (603 other tests pass). Same 61 tests pass --maxWorkers=1 --testTimeout=300000. CI flake risk not a product 404.",rc-81/logs/test-isolated.log; test-serial-slow.log
MEDIA-WRONG-BAK,media,public/images/running/products/glycerin-22-hero.WRONG-caldera.png.bak,leftover_master,LOW,1,"3.2MB .bak of a wrong-brand Glycerin hero still in the tree. Not served as live hero (Fix 77 JPEG is).",find public/images -name '*.bak'
REV-SOURCE-JUNK,reviews,"buff-merino-lightweight;buff-polar;new-balance-fuelcell-rebel-v4",source_seed_voice,LOW,3,"isReportOrJunkVoice on source summary/sections. Enriched page junkVoice=0. site:audit CONTENT-002 HIGH is this detector.",rc-81/content-sample.json
REV-ARTICLE-AUDITOR,reviews,assessReviewArticle,detector_vs_launch,LOW,15,"site:audit CONTENT-ARTICLE-P0: 15/15 first catalog reviews (isDev true) have a P0. Flagship INDEXABLE scores 85-88 with 1 P0. Launch assessor 591/591 READY. Do not treat as 15 broken reviews.",rc-81/content-sample.json; site-quality-audit.json
MEDIA-QA-CLUTTER,media,public/images/running/qa,lab_screenshots,LOW,1,"Lab QA PNGs live in the image tree (e.g. 3.7MB 1440 shots). Not product heroes.",find public/images/running/qa
HOLD-VERT-PRODUCTS,products,/products/*,vertical_hold,INTENTIONAL_HOLD,256,"Fitness/padel/tennis/hyrox published SKUs. Hub may exist; deep PDP not Day-1 INDEXABLE. 138 of these are still LAUNCH_READY quality.",rc-81/inventory.json products
HOLD-VERT-REVIEWS,reviews,/reviews/*,vertical_hold,INTENTIONAL_HOLD,218,"Editorial READY 591/591. Held only because product sport is not Day-1 enabled.",rc-81/inventory.json reviews
HOLD-VERT-BEST,best,/best/*,vertical_hold,INTENTIONAL_HOLD,14,"All 14 held Best are LAUNCH_READY (padel/tennis/fitness/HYROX). 0 THIN. EDITORIAL_INTENT_HOLD_PATHS empty.",rc-81/inventory.json best.held
HOLD-VERT-GUIDES,guides,/guides/*,vertical_hold,INTENTIONAL_HOLD,27,"All 69 guides assessor complete. Non-Running not INDEXABLE.",rc-81/inventory.json guides
HOLD-VERT-COMPARISONS,comparisons,/compare/*,vertical_hold,INTENTIONAL_HOLD,29,"Published 94/94 MEANINGFUL. Non-Running pairs wait on vertical.",rc-81/inventory.json comparisons
HOLD-VERT-TOOLS,tools,/tools/*,vertical_hold,INTENTIONAL_HOLD,13,"25 tools available; 12 INDEXABLE. Held finders are non-Running.",rc-81/inventory.json tools
HOLD-ALT-CATEGORY,alternatives,/products/*/alternatives,alt_category_or_vertical,INTENTIONAL_HOLD,328,"READY pages outside ALTERNATIVES_INDEXABLE_CATEGORIES. 137 eligibility-INDEXABLE; 39 of those are still noindex at the page (see HIGH).",rc-81/inventory.json alternatives
HOLD-ALT-MARKET,alternatives,21 clothing/fuel/flask/treadmill slugs,HOLD_INSUFFICIENT_ALTERNATIVE_MARKET,INTENTIONAL_HOLD,21,"Cluster has fewer than 3 published peers. Not padded. Includes former unexplained Ciele/treadmill SKUs.",rc-81/inventory.json alternatives.marketHolds
HOLD-ALT-DUP,alternatives,nike-dri-fit-miler-women,HOLD_DUPLICATE_INTENT,INTENTIONAL_HOLD,1,"Women Miler tee duplicates men's page intent. Explicit hold.",rc-81/inventory.json
HOLD-BRAND-SMALL,brands,/brands/*,HOLD_INSUFFICIENT_DEPTH,INTENTIONAL_HOLD,87,"1-2 published SKUs or depth gate. Includes accessory houses and future-vertical brands with a couple of SKUs. Not padded.",rc-81/inventory.json brands.class
HOLD-BRAND-MEDIA,brands,/brands/*,HOLD_NO_PRODUCTS,INTENTIONAL_HOLD,30,"Zero published products; SKUs draft until licensed hero.",rc-81/inventory.json brands.class
HOLD-CAT-VERTICAL,categories,/fitness/*;/padel/*;/tennis/*,vertical_hold,INTENTIONAL_HOLD,28,"Non-Running category shells. Not Day-1 INDEXABLE.",rc-81/inventory.json categories.future
HOLD-CAT-SHELLS,categories,"/padel/bags;/padel/accessories;/padel/clothing;/squash/rackets",empty_shell,INTENTIONAL_HOLD,4,"SOFT_GATED_CATEGORY_SLUGS. Explicit empty. Not missing copy.",rc-81/inventory.json categories.emptyShells
HOLD-LASTMOD-OMIT,seo,sitemap lastModified,lastmod_omit,INTENTIONAL_HOLD,1132,"1132/1174 sitemap URLs omit lastmod. Fix 32: omit vs seed/verified stamps. 42 genuine stamps remain.",rc-81/inventory.json sitemap
HOLD-COMMERCE-PARTIAL,commerce,DE;UK,partial_coverage,INTENTIONAL_HOLD,2,"Switcher shows Limited offers. Not claimed as NL-parity. DE 274 UK 278 rows.",rc-81/inventory.json commerce
HOLD-COMMERCE-US,commerce,US,limited_coverage,INTENTIONAL_HOLD,3,"3 offer rows. Switcher: Very limited. UX does not claim US catalog parity.",rc-81/inventory.json commerce.byRegion
HOLD-COMMERCE-NONE,commerce,BE;FR;ZA,no_coverage,INTENTIONAL_HOLD,3,"0 offer rows. Empty copy: No verified retailer offers currently available in your region.",rc-81/inventory.json
HOLD-CMP-BROKEN-DRAFT,comparisons,COMPARISON_BROKEN_PEER_SLUGS,broken_draft_peers,INTENTIONAL_HOLD,8,"8 slugs with draft/media-gated peers. Not in published 94. Not in sitemap. Not in HTTP 200 corpus.",rc-81/inventory.json comparisons.listedBrokenPeerSlugs
HOLD-GRAPH-WEAK,relationships,decision graph WEAK,WEAK,INTENTIONAL_HOLD,478,"0 INVALID. Remaining WEAK is previous-gen/fuel-form/Best routing. INDEXABLE Running alts WEAK=12.",rc-81/graph-audit-summary.json
HOLD-PRODUCT-DRAFTS,products,draft;review status,media_gate,INTENTIONAL_HOLD,93,"89 draft + 4 review in dev catalog. Authentic-hero gate. Not in published 631.",rc-81/inventory.json products.draftByStatus
