priority,overall_score,site,domain,prospect_type,mix,relevant_page,contact_person,role,public_contact_route,country,language,authority_signal,relevance_score,asset_fit,likelihood,recommended_asset,recommended_asset_url,why_they_might_link,pitch_angle,example_subject,competitor_gap,do_not_send,risk,campaign
HIGH,83,Fellrnr shoe metric table,fellrnr.com,DATABASE_CITATION,research,https://fellrnr.com/wiki/Shoes-metric-table,,site_owner,Wiki / site owner identity on fellrnr.com — no email stored.,US,en,72,98,96,70,Running Shoe Database,/running/shoes/database,"The table is static and hand-maintained; Kitletics is a current, filterable dataset of the same specs.","Offer a live searchable catalog of weight, drop and stack as a companion to the wiki table.",A current drop/stack/weight table to sit beside your shoe metric wiki,,no,SAFE,campaign-database
HIGH,83,AAPSM running shoe resources,aapsm.org,UNIVERSITY_RESEARCH,research,http://www.aapsm.org/runshoe.html,,unknown,aapsm.org contact / member directory — no email stored.,US,en,80,94,96,64,Running Shoe Database,/running/shoes/database,The page already has a Runner's Resources list. A current stack/drop/weight catalog is the missing public dataset.,"Offer a citeable, current stack/drop/weight catalog for the further-reading list — not a Best-of page.",A current stack/drop catalog for the AAPSM running-shoe resource list,,no,SAFE,campaign-database
HIGH,83,The Running Channel,therunningchannel.com,DATA_CITATION,publication,https://therunningchannel.com/running-shoe-stack-height/,Mark Dredge,gear_editor,therunningchannel.com/contact or byline on the article — no email stored.,GB,en,78,96,96,66,Running Shoe Database,/running/shoes/database,The article tells readers reviews list stack and drop but does not point to a living catalog of current models.,Add a current searchable catalog so readers can look up stack/drop/weight instead of a static example.,A live stack/drop catalog to sit under your stack-height explainer,Does not need RunRepeat; the explainer is first-party. Complementary public table.,no,SAFE,campaign-database
HIGH,82,ProRun,prorun.nl,RESOURCE_PAGE,publication,https://www.prorun.nl/gadgets_gear/kies-de-juiste-schoen/,,running_editor,prorun.nl colofon / contact — no email stored.,NL,nl,78,96,92,68,Running Shoe Finder,/tools/running-shoe-finder,The article sends people to specialist shops; a Dutch-usable finder plus catalog is the online next step.,Running Shoe Finder + database as the online vervolgstap after ‘kies de juiste schoen’.,Een schoenkiezer naast jullie ‘Kies de juiste schoen’,,no,SAFE,campaign-finder
HIGH,81,ProRun shoe advice,prorun.nl,DATA_CITATION,publication,https://www.prorun.nl/gadgets_gear/een-advies-voor-de-aanschaf-van-de-beste-hardloopschoenen/,,gear_editor,prorun.nl colofon — no email stored.,NL,nl,78,92,96,64,Running Shoe Database,/running/shoes/database,They tell experienced runners to mix drop and cushioning; a current catalog makes that advice checkable.,Cite the database so readers can compare drop/stack/weight of the shoes they already rotate.,Een actuele drop/stack-tabel bij jullie schoenadvies,,no,SAFE,campaign-database
HIGH,80,iRunFar,irunfar.com,ROUNDUP_INCLUSION,publication,https://www.irunfar.com/best-trail-running-shoes,Bryon Powell,editor,irunfar.com/about or contact — no email stored.,US,en,88,86,96,48,Running Shoe Database,/running/shoes/database,"Buying-advice section discusses drop and cushioning; a road/trail spec catalog is a supporting dataset, not a competing trail roundup.",Cite the database as the current spec lookup beneath the buying-advice / methodology block.,A current spec catalog under your trail-shoe buying advice,,no,SAFE,campaign-database
HIGH,80,Runners.nl,runners.nl,DATA_CITATION,publication,https://www.runners.nl/nieuws/1307271/wat-is-een-heeldrop-hardlopen.html,,running_editor,runners.nl contact/colofon — no email stored.,NL,nl,70,94,96,66,Running Shoe Database,/running/shoes/database,The article explains the millimetres but cannot stay current as models change; the database can.,Live drop/stack/weight catalog as the lookup under ‘Wat is een heeldrop?’,Een actuele heeldrop-tabel onder jullie explainer,,no,SAFE,campaign-database
HIGH,79,Canadian Running Magazine,runningmagazine.ca,DATA_CITATION,publication,https://runningmagazine.ca/sections/gear/deconstructing-heel-to-toe-offset-aka-drop-in-running-shoes/,,gear_editor,runningmagazine.ca/contact — no email stored.,CA,en,76,95,80,63,Running Shoe Drop Explained,/guides/running-shoe-drop,Readers are told not to jump drop ranges; a current catalog lets them check the drop they already own.,Point the drop explainer at How we explain drop plus the live catalog for current millimetre values.,A current drop lookup for your heel-to-toe offset explainer,,no,SAFE,campaign-database
HIGH,79,Laura Norris — shoe rotation,lauranorrisrunning.com,COACH_RESOURCE,coach,https://lauranorrisrunning.com/running-shoe-rotation/,Laura Norris,coach,lauranorrisrunning.com / Stride Science about — no email stored.,US,en,66,92,96,60,Running Shoe Database,/running/shoes/database,Readers are told to match drop across pairs but are not given a current catalog.,Database as the drop/stack lookup when building a two- or three-shoe rotation.,A drop catalog for the shoe-rotation article,,no,SAFE,campaign-database
HIGH,78,Wisdom Running,wisdomrunning.com,RESOURCE_PAGE,publication,https://wisdomrunning.com/heel-to-toe-drop-in-running-shoes/,,site_owner,Site contact / about — no email stored.,US,en,58,92,96,72,Running Shoe Database,/running/shoes/database,The guide tells people to pick a drop range then sanity-check it; a live catalog is the lookup step.,Offer the database as the lookup after their 60-second drop picker.,A searchable drop/stack catalog for your heel-to-toe drop guide,,no,SAFE,campaign-database
