sourceProductId,targetId,relation,label
prod-bullpadel-vertex-05,review-bullpadel-vertex-05,review,Bullpadel Vertex 05 2026 Review
prod-bullpadel-vertex-05,prod-bullpadel-vertex-05-hybrid,alternative,review-alt:review-bullpadel-vertex-05
prod-bullpadel-vertex-05,prod-adidas-metalbone-3-5-2026,alternative,review-alt:review-bullpadel-vertex-05
prod-bullpadel-hack-04,review-bullpadel-hack-04,review,Bullpadel Hack 04 2026 Review
prod-bullpadel-hack-04,prod-bullpadel-xplo,alternative,review-alt:review-bullpadel-hack-04
prod-bullpadel-hack-04,prod-adidas-metalbone-hrd,alternative,review-alt:review-bullpadel-hack-04
prod-bullpadel-vertex-05-hybrid,review-bullpadel-vertex-05-hybrid,review,Bullpadel Vertex 05 Hybrid 2026 Review
prod-bullpadel-vertex-05-hybrid,prod-bullpadel-vertex-05,alternative,review-alt:review-bullpadel-vertex-05-hybrid
prod-bullpadel-vertex-05-hybrid,prod-bullpadel-hack-04-hybrid,alternative,review-alt:review-bullpadel-vertex-05-hybrid
prod-bullpadel-indiga-ctr,review-bullpadel-indiga-ctr,review,Bullpadel Indiga CTR 26 Review
prod-bullpadel-indiga-ctr,prod-kuikma-pr-soft-500,alternative,review-alt:review-bullpadel-indiga-ctr
prod-bullpadel-indiga-ctr,prod-head-one-ultralight,alternative,review-alt:review-bullpadel-indiga-ctr
prod-nox-at10-18k-2026,review-nox-at10-18k-2026,review,Nox AT10 Genius 18K Alum 2026 Review
prod-nox-at10-18k-2026,prod-nox-at10-attack-18k-2026,alternative,review-alt:review-nox-at10-18k-2026
prod-nox-at10-18k-2026,prod-bullpadel-vertex-05,alternative,review-alt:review-nox-at10-18k-2026
prod-nox-at10-12k-2026,review-nox-at10-12k-2026,review,Nox AT10 Genius 12K Alum XTREM 2026 Review
prod-nox-at10-12k-2026,prod-nox-at10-18k-2026,alternative,review-alt:review-nox-at10-12k-2026
prod-nox-at10-12k-2026,prod-nox-at10-attack-18k-2026,alternative,review-alt:review-nox-at10-12k-2026
prod-nox-ml10-pro-cup,review-nox-ml10-pro-cup,review,Nox ML10 Pro Cup Review
prod-nox-ml10-pro-cup,prod-nox-equation-soft-2026,alternative,review-alt:review-nox-ml10-pro-cup
prod-nox-ml10-pro-cup,prod-oxdog-sense-pro-2026,alternative,review-alt:review-nox-ml10-pro-cup
prod-adidas-metalbone-3-5-2026,review-adidas-metalbone-3-5-2026,review,Adidas Metalbone 3.5 2026 Review
prod-adidas-metalbone-3-5-2026,prod-adidas-metalbone-hrd,alternative,review-alt:review-adidas-metalbone-3-5-2026
prod-adidas-metalbone-3-5-2026,prod-bullpadel-vertex-05,alternative,review-alt:review-adidas-metalbone-3-5-2026
prod-head-coello-pro,review-head-coello-pro,review,HEAD Coello Pro 2026 Review
prod-head-coello-pro,prod-bullpadel-xplo,alternative,review-alt:review-head-coello-pro
prod-head-coello-pro,prod-adidas-metalbone-hrd,alternative,review-alt:review-head-coello-pro
prod-head-gravity-pro,review-head-gravity-pro,review,HEAD Gravity Pro Review
prod-head-gravity-pro,prod-head-gravity-motion,alternative,review-alt:review-head-gravity-pro
prod-head-gravity-pro,prod-babolat-counter-viper,alternative,review-alt:review-head-gravity-pro
prod-babolat-technical-viper,review-babolat-technical-viper,review,Babolat Technical Viper 3.0 Review
prod-babolat-technical-viper,prod-head-coello-pro,alternative,review-alt:review-babolat-technical-viper
prod-babolat-technical-viper,prod-bullpadel-hack-04,alternative,review-alt:review-babolat-technical-viper
prod-kuikma-pr-comfort-soft,review-kuikma-pr-comfort-soft,review,Kuikma PR Comfort Soft Review
prod-kuikma-pr-comfort-soft,prod-kuikma-pr-soft-500,alternative,review-alt:review-kuikma-pr-comfort-soft
prod-kuikma-pr-comfort-soft,prod-bullpadel-indiga-ctr,alternative,review-alt:review-kuikma-pr-comfort-soft
prod-asics-gel-resolution-padel,review-asics-gel-resolution-padel,review,ASICS Gel-Resolution Padel Review
prod-asics-gel-resolution-padel,prod-joma-t-slam,alternative,review-alt:review-asics-gel-resolution-padel
prod-asics-gel-resolution-padel,prod-babolat-jet-premura,alternative,review-alt:review-asics-gel-resolution-padel
prod-asics-gel-resolution-padel,prod-adidas-crazyquick-boost-m,alternative,review-alt:review-asics-gel-resolution-padel
prod-adidas-crazyquick-boost-m,review-adidas-crazyquick-boost-m,review,Adidas Crazyquick Boost Padel Review
prod-adidas-crazyquick-boost-m,prod-adidas-courtstabil,alternative,review-alt:review-adidas-crazyquick-boost-m
prod-adidas-crazyquick-boost-m,prod-asics-gel-resolution-padel,alternative,review-alt:review-adidas-crazyquick-boost-m
prod-adidas-crazyquick-boost-m,prod-babolat-jet-premura,alternative,review-alt:review-adidas-crazyquick-boost-m
prod-adidas-courtstabil,review-adidas-courtstabil,review,Adidas Courtquick Padel Review
prod-adidas-courtstabil,prod-adidas-crazyquick-boost-m,alternative,review-alt:review-adidas-courtstabil
prod-adidas-courtstabil,prod-joma-t-slam,alternative,review-alt:review-adidas-courtstabil
prod-adidas-courtstabil,prod-asics-gel-resolution-padel,alternative,review-alt:review-adidas-courtstabil
prod-joma-t-slam,review-joma-t-slam,review,Joma T.Slam Review
prod-joma-t-slam,prod-kuikma-ps-990,alternative,review-alt:review-joma-t-slam
prod-joma-t-slam,prod-adidas-courtstabil,alternative,review-alt:review-joma-t-slam
prod-joma-t-slam,prod-asics-gel-resolution-padel,alternative,review-alt:review-joma-t-slam
prod-babolat-jet-premura,review-babolat-jet-premura,review,Babolat Jet Premura Review
prod-babolat-jet-premura,prod-head-sprint-pro-4-padel,alternative,review-alt:review-babolat-jet-premura
prod-babolat-jet-premura,prod-asics-gel-resolution-padel,alternative,review-alt:review-babolat-jet-premura
prod-babolat-jet-premura,prod-joma-t-slam,alternative,review-alt:review-babolat-jet-premura
prod-nox-at10-lux,review-nox-at10-lux,review,Nox AT10 Lux Review
prod-nox-at10-lux,prod-joma-t-slam,alternative,review-alt:review-nox-at10-lux
prod-nox-at10-lux,prod-asics-gel-resolution-padel,alternative,review-alt:review-nox-at10-lux
prod-nox-at10-lux,prod-adidas-crazyquick-boost-m,alternative,review-alt:review-nox-at10-lux
prod-head-sprint-pro-4-padel,review-head-sprint-pro-4-padel,review,HEAD Sprint Pro 4.0 Padel Review
prod-head-sprint-pro-4-padel,prod-babolat-jet-premura,alternative,review-alt:review-head-sprint-pro-4-padel
prod-head-sprint-pro-4-padel,prod-asics-gel-resolution-padel,alternative,review-alt:review-head-sprint-pro-4-padel
prod-head-sprint-pro-4-padel,prod-joma-t-slam,alternative,review-alt:review-head-sprint-pro-4-padel
prod-kuikma-ps-990,review-kuikma-ps-990,review,Kuikma PS 990 Review
prod-kuikma-ps-990,prod-joma-t-slam,alternative,review-alt:review-kuikma-ps-990
prod-kuikma-ps-990,prod-adidas-courtstabil,alternative,review-alt:review-kuikma-ps-990
prod-kuikma-ps-990,prod-asics-gel-dedicate-8-padel,alternative,review-alt:review-kuikma-ps-990
prod-wilson-overgrip,review-wilson-overgrip,review,Wilson Pro Padel Overgrip 3-Pack Review
prod-wilson-overgrip,prod-bullpadel-gb1200,alternative,review-alt:review-wilson-overgrip
prod-wilson-overgrip,prod-nox-pro-overgrip,alternative,review-alt:review-wilson-overgrip
prod-wilson-overgrip,prod-hesacore-padel,alternative,review-alt:review-wilson-overgrip
prod-hesacore-padel,review-hesacore-padel,review,Hesacore Padel Grip Review
prod-hesacore-padel,prod-wilson-overgrip,alternative,review-alt:review-hesacore-padel
prod-hesacore-padel,prod-head-hydrosorb,alternative,review-alt:review-hesacore-padel
prod-bullpadel-gb1200,review-bullpadel-hac-overgrip,review,Bullpadel HaC Overgrip Review
prod-bullpadel-gb1200,prod-wilson-overgrip,alternative,review-alt:review-bullpadel-hac-overgrip
prod-bullpadel-gb1200,prod-nox-pro-overgrip,alternative,review-alt:review-bullpadel-hac-overgrip
prod-bullpadel-gb1200,prod-kuikma-overgrip,alternative,review-alt:review-bullpadel-hac-overgrip
prod-head-padel-pro-s,review-head-padel-pro-s,review,HEAD Padel Pro S+ Review
prod-head-padel-pro-s,prod-head-padel-pro-plus,alternative,review-alt:review-head-padel-pro-s
prod-head-padel-pro-s,prod-kuikma-pb-speed,alternative,review-alt:review-head-padel-pro-s
prod-head-padel-pro-s,prod-wilson-padel-premier-speed,alternative,review-alt:review-head-padel-pro-s
prod-nox-at10-team-bag,review-nox-at10-team-bag,review,Nox AT10 Team Bag Review
prod-nox-at10-team-bag,prod-babolat-rh-pro-padel,alternative,review-alt:review-nox-at10-team-bag
prod-nox-at10-team-bag,prod-tecnifibre-tour-endurance-backpack,alternative,review-alt:review-nox-at10-team-bag
prod-nox-at10-team-bag,prod-nox-at10-xxl-bag,alternative,review-alt:review-nox-at10-team-bag
prod-bullpadel-pascal-box,review-bullpadel-pascal-box,review,Bullpadel Pascal Box 3B Review
prod-bullpadel-pascal-box,prod-head-x3-pressurizer,alternative,review-alt:review-bullpadel-pascal-box
prod-bullpadel-pascal-box,prod-head-padel-pro-s,alternative,review-alt:review-bullpadel-pascal-box
prod-bullpadel-vertex-05,best-padel-rackets,best-guide,Best Padel Rackets#1
prod-bullpadel-indiga-ctr,best-padel-rackets,best-guide,Best Padel Rackets#2
prod-nox-ml10-pro-cup,best-padel-rackets,best-guide,Best Padel Rackets#3
prod-bullpadel-hack-04,best-padel-rackets,best-guide,Best Padel Rackets#4
prod-bullpadel-vertex-05-hybrid,best-padel-rackets,best-guide,Best Padel Rackets#5
prod-kuikma-pr-comfort-soft,best-padel-rackets,best-guide,Best Padel Rackets#6
prod-adidas-metalbone-3-5-2026,best-padel-rackets,best-guide,Best Padel Rackets#7
prod-bullpadel-vertex-04,best-padel-rackets,best-guide,considered:previous-pick
prod-bullpadel-hack-03,best-padel-rackets,best-guide,considered:previous-pick
prod-adidas-metalbone-3-3-2026,best-padel-rackets,best-guide,considered:previous-pick
prod-starvie-titania-kepler,best-padel-rackets,best-guide,considered:previous-pick
prod-starvie-basalto-osiris,best-padel-rackets,best-guide,considered:previous-pick
prod-nox-at10-attack-12k-2026,best-padel-rackets,best-guide,considered:rejected
prod-kuikma-pr-soft-500,best-padel-rackets,best-guide,considered:rejected
prod-drop-shot-canyon-pro,best-padel-rackets,best-guide,considered:rejected
prod-black-crown-special-one-soft,best-padel-rackets,best-guide,considered:rejected
prod-siux-diablo,best-padel-rackets,best-guide,considered:rejected
prod-head-coello-pro,best-padel-rackets,best-guide,considered:shortlisted
prod-adidas-metalbone-hrd,best-padel-rackets,best-guide,considered:rejected
prod-nox-at10-12k-2026,best-padel-rackets,best-guide,considered:shortlisted
prod-babolat-counter-viper,best-padel-rackets,best-guide,considered:shortlisted
prod-nox-at10-18k-2026,best-padel-rackets,best-guide,considered:shortlisted
prod-babolat-technical-viper,best-padel-rackets,best-guide,considered:shortlisted
prod-wilson-blade-pro-padel,best-padel-rackets,best-guide,considered:considered
prod-bullpadel-indiga-ctr,best-padel-rackets-beginners,best-guide,Best Padel Rackets for Beginners#1
prod-kuikma-pr-comfort-soft,best-padel-rackets-beginners,best-guide,Best Padel Rackets for Beginners#2
prod-nox-equation-soft-2026,best-padel-rackets-beginners,best-guide,Best Padel Rackets for Beginners#3
prod-adidas-match-light,best-padel-rackets-beginners,best-guide,Best Padel Rackets for Beginners#4
prod-siux-diablo,best-padel-rackets-beginners,best-guide,considered:rejected
prod-head-coello-pro,best-padel-rackets-beginners,best-guide,considered:rejected
prod-bullpadel-vertex-05,best-padel-rackets-beginners,best-guide,considered:rejected
prod-kuikma-pr-soft-500,best-padel-rackets-beginners,best-guide,considered:rejected
prod-head-one-ultralight,best-padel-rackets-beginners,best-guide,considered:shortlisted
prod-head-coello-team,best-padel-rackets-beginners,best-guide,considered:considered
prod-bullpadel-ionic-light,best-padel-rackets-intermediate,best-guide,Best Padel Rackets for Intermediate Players#1
prod-kuikma-pr-hybrid-carbon,best-padel-rackets-intermediate,best-guide,Best Padel Rackets for Intermediate Players#2
prod-babolat-air-veron,best-padel-rackets-intermediate,best-guide,Best Padel Rackets for Intermediate Players#3
prod-head-coello-team,best-padel-rackets-intermediate,best-guide,Best Padel Rackets for Intermediate Players#4
prod-bullpadel-vertex-advance,best-padel-rackets-intermediate,best-guide,Best Padel Rackets for Intermediate Players#5
prod-bullpadel-indiga-ctr,best-padel-rackets-intermediate,best-guide,considered:rejected
prod-head-coello-pro,best-padel-rackets-intermediate,best-guide,considered:rejected
prod-bullpadel-vertex-05,best-padel-rackets-intermediate,best-guide,considered:rejected
prod-siux-diablo,best-padel-rackets-intermediate,best-guide,considered:rejected
prod-bullpadel-vertex-05,best-padel-rackets-advanced,best-guide,Best Padel Rackets for Advanced Players#1
prod-nox-at10-18k-2026,best-padel-rackets-advanced,best-guide,Best Padel Rackets for Advanced Players#2
prod-head-gravity-pro,best-padel-rackets-advanced,best-guide,Best Padel Rackets for Advanced Players#3
prod-siux-diablo,best-padel-rackets-advanced,best-guide,Best Padel Rackets for Advanced Players#4
prod-bullpadel-hack-04-hybrid,best-padel-rackets-advanced,best-guide,Best Padel Rackets for Advanced Players#5
prod-bullpadel-hack-04,best-padel-rackets-advanced,best-guide,considered:shortlisted
prod-head-coello-pro,best-padel-rackets-advanced,best-guide,considered:shortlisted
prod-bullpadel-indiga-ctr,best-padel-rackets-advanced,best-guide,considered:rejected
prod-bullpadel-vertex-04,best-padel-rackets-advanced,best-guide,considered:previous-pick
prod-nox-ml10-pro-cup,best-padel-rackets-control,best-guide,Best Control Padel Rackets#1
prod-head-gravity-pro,best-padel-rackets-control,best-guide,Best Control Padel Rackets#2
prod-nox-equation-soft-2026,best-padel-rackets-control,best-guide,Best Control Padel Rackets#3
prod-wilson-blade-pro-padel,best-padel-rackets-control,best-guide,Best Control Padel Rackets#4
prod-babolat-counter-viper,best-padel-rackets-control,best-guide,Best Control Padel Rackets#5
prod-bullpadel-hack-04,best-padel-rackets-control,best-guide,considered:rejected
prod-adidas-metalbone-3-5-2026,best-padel-rackets-control,best-guide,considered:rejected
prod-babolat-technical-viper,best-padel-rackets-control,best-guide,considered:rejected
prod-siux-diablo,best-padel-rackets-control,best-guide,considered:rejected
prod-bullpadel-hack-04,best-padel-rackets-power,best-guide,Best Power Padel Rackets#1
prod-adidas-metalbone-3-5-2026,best-padel-rackets-power,best-guide,Best Power Padel Rackets#2
prod-babolat-technical-viper,best-padel-rackets-power,best-guide,Best Power Padel Rackets#3
prod-head-coello-pro,best-padel-rackets-power,best-guide,Best Power Padel Rackets#4
prod-nox-at10-attack-18k-2026,best-padel-rackets-power,best-guide,Best Power Padel Rackets#5
prod-nox-at10-12k-2026,best-padel-rackets-power,best-guide,considered:rejected
prod-adidas-metalbone-3-3-2026,best-padel-rackets-power,best-guide,considered:previous-pick
prod-nox-at10-attack-12k-2026,best-padel-rackets-power,best-guide,considered:rejected
prod-bullpadel-indiga-ctr,best-padel-rackets-power,best-guide,considered:rejected
prod-bullpadel-vertex-05-hybrid,best-padel-rackets-all-round,best-guide,Best All-Round Padel Rackets#1
prod-nox-at10-12k-2026,best-padel-rackets-all-round,best-guide,Best All-Round Padel Rackets#2
prod-nox-at10-18k-2026,best-padel-rackets-all-round,best-guide,Best All-Round Padel Rackets#3
prod-siux-diablo,best-padel-rackets-all-round,best-guide,Best All-Round Padel Rackets#4
prod-head-speed-pro,best-padel-rackets-all-round,best-guide,Best All-Round Padel Rackets#5
prod-bullpadel-vertex-05,best-padel-rackets-all-round,best-guide,considered:rejected
prod-bullpadel-hack-04,best-padel-rackets-all-round,best-guide,considered:rejected
prod-nox-at10-attack-18k-2026,best-padel-rackets-all-round,best-guide,considered:rejected
prod-head-one-ultralight,best-padel-rackets-lightweight,best-guide,Best Lightweight Padel Rackets#1
prod-bullpadel-vertex-05-w,best-padel-rackets-lightweight,best-guide,Best Lightweight Padel Rackets#2
prod-bullpadel-ionic-light,best-padel-rackets-lightweight,best-guide,Best Lightweight Padel Rackets#3
prod-babolat-air-veron,best-padel-rackets-lightweight,best-guide,Best Lightweight Padel Rackets#4
prod-bullpadel-vertex-05,best-padel-rackets-lightweight,best-guide,considered:rejected
prod-kuikma-pr-comfort-soft,best-padel-rackets-lightweight,best-guide,considered:rejected
prod-adidas-match-light,best-padel-rackets-lightweight,best-guide,considered:shortlisted
prod-kuikma-pr-comfort-soft,best-padel-rackets-comfort,best-guide,Best Padel Rackets for Comfort#1
prod-nox-equation-soft-2026,best-padel-rackets-comfort,best-guide,Best Padel Rackets for Comfort#2
prod-bullpadel-indiga-ctr,best-padel-rackets-comfort,best-guide,Best Padel Rackets for Comfort#3
prod-bullpadel-hack-04-comfort,best-padel-rackets-comfort,best-guide,Best Padel Rackets for Comfort#4
prod-head-coello-team,best-padel-rackets-comfort,best-guide,Best Padel Rackets for Comfort#5
prod-bullpadel-hack-04,best-padel-rackets-comfort,best-guide,considered:rejected
prod-adidas-metalbone-hrd,best-padel-rackets-comfort,best-guide,considered:rejected
prod-bullpadel-ionic-light,best-padel-rackets-maneuverability,best-guide,Best Padel Rackets for Maneuverability#1
prod-babolat-air-viper,best-padel-rackets-maneuverability,best-guide,Best Padel Rackets for Maneuverability#2
prod-head-coello-motion,best-padel-rackets-maneuverability,best-guide,Best Padel Rackets for Maneuverability#3
prod-head-gravity-motion,best-padel-rackets-maneuverability,best-guide,Best Padel Rackets for Maneuverability#4
prod-head-extreme-motion-2026,best-padel-rackets-maneuverability,best-guide,Best Padel Rackets for Maneuverability#5
prod-head-one-ultralight,best-padel-rackets-maneuverability,best-guide,considered:shortlisted
prod-bullpadel-vertex-05-w,best-padel-rackets-maneuverability,best-guide,considered:shortlisted
prod-head-coello-pro,best-padel-rackets-maneuverability,best-guide,considered:rejected
prod-bullpadel-vertex-05-w,best-padel-rackets-women,best-guide,Best Padel Rackets for Women#1
