path,type,slug,title,primary_intent,secondary_intent,target_decision,related_product_or_category,sport,indexable,disposition,intent_key,action,action_target,action_note,collision_tags
"/products/asics-novablast-5","product","asics-novablast-5","ASICS Novablast 5","understand and buy ASICS Novablast 5","specs, offers, alternatives entry","Is Novablast 5 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-novablast-5","keep","","","paired_with_review"
"/products/asics-novablast-4","product","asics-novablast-4","ASICS Novablast 4","understand and buy ASICS Novablast 4","specs, offers, alternatives entry","Is Novablast 4 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-novablast-4","keep","","",""
"/products/asics-gel-nimbus-27","product","asics-gel-nimbus-27","ASICS GEL-Nimbus 27","understand and buy ASICS GEL-Nimbus 27","specs, offers, alternatives entry","Is GEL-Nimbus 27 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-nimbus-27","keep","","",""
"/products/nike-pegasus-41","product","nike-pegasus-41","Nike Pegasus 41","understand and buy Nike Pegasus 41","specs, offers, alternatives entry","Is Pegasus 41 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-pegasus-41","keep","","",""
"/products/brooks-ghost-16","product","brooks-ghost-16","Brooks Ghost 16","understand and buy Brooks Ghost 16","specs, offers, alternatives entry","Is Ghost 16 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-ghost-16","keep","","",""
"/products/hoka-clifton-9","product","hoka-clifton-9","HOKA Clifton 9","understand and buy HOKA Clifton 9","specs, offers, alternatives entry","Is Clifton 9 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-clifton-9","keep","","",""
"/products/saucony-endorphin-speed-4","product","saucony-endorphin-speed-4","Saucony Endorphin Speed 4","understand and buy Saucony Endorphin Speed 4","specs, offers, alternatives entry","Is Endorphin Speed 4 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-endorphin-speed-4","keep","","",""
"/products/new-balance-fuelcell-rebel-v4","product","new-balance-fuelcell-rebel-v4","New Balance FuelCell Rebel v4","understand and buy New Balance FuelCell Rebel v4","specs, offers, alternatives entry","Is FuelCell Rebel v4 the right purchase?","running-shoes","running","false","PUBLIC_NOINDEX","product:prod-rebel-4","keep","","",""
"/products/adidas-adizero-boston-12","product","adidas-adizero-boston-12","Adidas Adizero Boston 12","understand and buy Adidas Adizero Boston 12","specs, offers, alternatives entry","Is Adizero Boston 12 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-boston-12","keep","","",""
"/products/garmin-forerunner-965","product","garmin-forerunner-965","Garmin Forerunner 965","understand and buy Garmin Forerunner 965","specs, offers, alternatives entry","Is Forerunner 965 the right purchase?","gps-watches","running","true","INDEXABLE","product:prod-forerunner-965","keep","","",""
"/products/garmin-forerunner-255","product","garmin-forerunner-255","Garmin Forerunner 255","understand and buy Garmin Forerunner 255","specs, offers, alternatives entry","Is Forerunner 255 the right purchase?","gps-watches","running","true","INDEXABLE","product:prod-forerunner-255","keep","","",""
"/products/coros-pace-3","product","coros-pace-3","COROS Pace 3","understand and buy COROS Pace 3","specs, offers, alternatives entry","Is Pace 3 the right purchase?","gps-watches","running","true","INDEXABLE","product:prod-coros-pace-3","keep","","","paired_with_review"
"/products/garmin-hrm-pro-plus","product","garmin-hrm-pro-plus","Garmin HRM-Pro Plus","understand and buy Garmin HRM-Pro Plus","specs, offers, alternatives entry","Is HRM-Pro Plus the right purchase?","heart-rate-monitors","running","true","INDEXABLE","product:prod-hrm-pro-plus","keep","","",""
"/products/salomon-adv-skin-12","product","salomon-adv-skin-12","Salomon ADV Skin 12","understand and buy Salomon ADV Skin 12","specs, offers, alternatives entry","Is ADV Skin 12 the right purchase?","running-packs-vests","running","true","INDEXABLE","product:prod-adv-skin-12","keep","","",""
"/products/asics-novablast-6","product","asics-novablast-6","ASICS Novablast 6","understand and buy ASICS Novablast 6","specs, offers, alternatives entry","Is Novablast 6 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-novablast-6","keep","","",""
"/products/asics-superblast-2","product","asics-superblast-2","ASICS SUPERBLAST 2","understand and buy ASICS SUPERBLAST 2","specs, offers, alternatives entry","Is SUPERBLAST 2 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-superblast-2","keep","","","paired_with_review"
"/products/asics-gel-kayano-32","product","asics-gel-kayano-32","ASICS GEL-Kayano 32","understand and buy ASICS GEL-Kayano 32","specs, offers, alternatives entry","Is GEL-Kayano 32 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-kayano-32","keep","","","paired_with_review"
"/products/asics-gel-cumulus-27","product","asics-gel-cumulus-27","ASICS GEL-Cumulus 27","understand and buy ASICS GEL-Cumulus 27","specs, offers, alternatives entry","Is GEL-Cumulus 27 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-cumulus-27","keep","","",""
"/products/asics-metaspeed-sky-paris","product","asics-metaspeed-sky-paris","ASICS METASPEED Sky Paris","understand and buy ASICS METASPEED Sky Paris","specs, offers, alternatives entry","Is METASPEED Sky Paris the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-metaspeed-sky-paris","keep","","",""
"/products/asics-gt-2000-14","product","asics-gt-2000-14","ASICS GT-2000 14","understand and buy ASICS GT-2000 14","specs, offers, alternatives entry","Is GT-2000 14 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-gt-2000-14","keep","","",""
"/products/nike-pegasus-42","product","nike-pegasus-42","Nike Pegasus 42","understand and buy Nike Pegasus 42","specs, offers, alternatives entry","Is Pegasus 42 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-pegasus-42","keep","","","paired_with_review"
"/products/nike-vomero-18","product","nike-vomero-18","Nike Vomero 18","understand and buy Nike Vomero 18","specs, offers, alternatives entry","Is Vomero 18 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-vomero-18","keep","","","paired_with_review"
"/products/nike-invincible-3","product","nike-invincible-3","Nike Invincible 3","understand and buy Nike Invincible 3","specs, offers, alternatives entry","Is Invincible 3 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-invincible-3","keep","","",""
"/products/nike-vaporfly-4","product","nike-vaporfly-4","Nike Vaporfly 4","understand and buy Nike Vaporfly 4","specs, offers, alternatives entry","Is Vaporfly 4 the right purchase?","running-shoes","running","true","INDEXABLE","product:prod-vaporfly-4","keep","","","paired_with_review"
