issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status,validation,validation_note
PFL-0001,HIGH,http://127.0.0.1:3011/best/padel-shoes,/best/padel-shoes,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Best Padel…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0002,HIGH,http://127.0.0.1:3011/best/padel-shoes-comfort,/best/padel-shoes-comfort,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0003,HIGH,http://127.0.0.1:3011/best/padel-shoes-lightweight,/best/padel-shoes-lightweight,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0004,HIGH,http://127.0.0.1:3011/best/padel-shoes-men,/best/padel-shoes-men,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0005,HIGH,http://127.0.0.1:3011/best/padel-shoes-stability,/best/padel-shoes-stability,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0006,HIGH,http://127.0.0.1:3011/best/padel-shoes-value,/best/padel-shoes-value,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0007,HIGH,http://127.0.0.1:3011/best/padel-shoes-women,/best/padel-shoes-women,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0008,BLOCKER,http://127.0.0.1:3011/brands/bullpadel,/brands/bullpadel,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FP,FALSE_POSITIVE,Retry 200 after crawl abort (timeout). Not a live 404.
PFL-0009,HIGH,http://127.0.0.1:3011/padel/shoes,/padel/shoes,category,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0010,BLOCKER,http://127.0.0.1:3011/products/4on-pro-t1,/products/4on-pro-t1,product,IMAGE_WRONG_BRAND,adidas-padel,"Pro T1 Padel Balls: Specs, Performance & Best Uses · Kitletics",/images/padel/products/head-padel-pro-s-hero.jpg,"Primary image path signals adidas-padel, expected 4on",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0011,BLOCKER,http://127.0.0.1:3011/products/4on-pro-t1,/products/4on-pro-t1,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Pro T1 Padel Balls: Specs, Performance & Best Uses · Kitletics",/images/padel/products/head-padel-pro-s-hero.jpg,Primary product image does not match 4on-pro-t1,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0012,BLOCKER,http://127.0.0.1:3011/products/4on-swiftgrip,/products/4on-swiftgrip,product,IMAGE_WRONG_BRAND,adidas-padel,"SwiftGrip: Specs, Performance & Best Uses · Kitletics",/images/padel/products/wilson-padel-overgrip-hero.jpg,"Primary image path signals adidas-padel, expected 4on",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0013,BLOCKER,http://127.0.0.1:3011/products/4on-swiftgrip,/products/4on-swiftgrip,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"SwiftGrip: Specs, Performance & Best Uses · Kitletics",/images/padel/products/wilson-padel-overgrip-hero.jpg,Primary product image does not match 4on-swiftgrip,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0014,BLOCKER,http://127.0.0.1:3011/products/4on-totalgrip,/products/4on-totalgrip,product,IMAGE_WRONG_BRAND,bullpadel,"TotalGrip Spray: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,"Primary image path signals bullpadel, expected 4on",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0015,BLOCKER,http://127.0.0.1:3011/products/4on-totalgrip,/products/4on-totalgrip,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"TotalGrip Spray: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match 4on-totalgrip,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0016,BLOCKER,http://127.0.0.1:3011/products/4on-totalgrip-paste,/products/4on-totalgrip-paste,product,IMAGE_WRONG_BRAND,bullpadel,"TotalGrip Paste: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,"Primary image path signals bullpadel, expected 4on",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0017,BLOCKER,http://127.0.0.1:3011/products/4on-totalgrip-paste,/products/4on-totalgrip-paste,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"TotalGrip Paste: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match 4on-totalgrip-paste,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0018,BLOCKER,http://127.0.0.1:3011/products/adidas-accessory-pouch-2026,/products/adidas-accessory-pouch-2026,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Accessory Pouch 2026: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match adidas-accessory-pouch-2026,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0019,BLOCKER,http://127.0.0.1:3011/products/adidas-adidas-protector,/products/adidas-adidas-protector,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Frame Protector / Protection Tape: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match adidas-adidas-protector,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0020,BLOCKER,http://127.0.0.1:3011/products/adidas-adidas-wristband,/products/adidas-adidas-wristband,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Padel Wristband: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match adidas-adidas-wristband,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0021,BLOCKER,http://127.0.0.1:3011/products/adidas-control-2026,/products/adidas-control-2026,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Control Padel Bag 2026: Specs, Performance & Best Uses · Kitletics",/images/padel/products/nox-at10-team-paletero-hero.jpg,Primary product image does not match adidas-control-2026,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0022,HIGH,http://127.0.0.1:3011/products/adidas-courtquick-padel-women,/products/adidas-courtquick-padel-women,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0023,HIGH,http://127.0.0.1:3011/products/adidas-crazyquick-boost-padel-women,/products/adidas-crazyquick-boost-padel-women,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0024,BLOCKER,http://127.0.0.1:3011/products/adidas-metalbone-bag,/products/adidas-metalbone-bag,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Metalbone Padel Bag: Specs, Performance & Best Uses · Kitletics",/images/padel/products/nox-at10-team-paletero-hero.jpg,Primary product image does not match adidas-metalbone-bag,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0025,BLOCKER,http://127.0.0.1:3011/products/adidas-padel-overgrip,/products/adidas-padel-overgrip,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Padel Overgrip: Specs, Performance & Best Uses · Kitletics",/images/padel/products/head-xtreme-soft-overgrip-hero.jpg,Primary product image does not match adidas-padel-overgrip,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0026,BLOCKER,http://127.0.0.1:3011/products/adidas-pro-bounce,/products/adidas-pro-bounce,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas / AFP Pro Bounce: Specs, Performance & Best Uses · Kitletics",/images/padel/products/head-padel-pro-s-hero.jpg,Primary product image does not match adidas-pro-bounce,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0027,BLOCKER,http://127.0.0.1:3011/products/adidas-protour-backpack-2026,/products/adidas-protour-backpack-2026,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas ProTour Backpack 2026: Specs, Performance & Best Uses · Kitletics",/images/padel/products/nox-at10-team-paletero-hero.jpg,Primary product image does not match adidas-protour-backpack-2026,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0028,BLOCKER,http://127.0.0.1:3011/products/adidas-shoe-bag-ale-gal-n,/products/adidas-shoe-bag-ale-gal-n,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Shoe Bag Ale Galán: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match adidas-shoe-bag-ale-gal-n,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0029,BLOCKER,http://127.0.0.1:3011/products/adidas-shoe-bag-ale-gal-n/alternatives,/products/adidas-shoe-bag-ale-gal-n/alternatives,alternatives,IMAGE_WRONG_SPORT,guide_running_shoes,Alternatives to Adidas Shoe Bag Ale Galán · Kitletics,/images/home/guide-running-shoes.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,Rendered /images/home/guide-running-shoes.jpg on Padel alternatives pages.
PFL-0030,BLOCKER,http://127.0.0.1:3011/products/adidas-tacky-feeling,/products/adidas-tacky-feeling,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Tacky Feeling Overgrip: Specs, Performance & Best Uses · Kitletics",/images/padel/products/wilson-padel-overgrip-hero.jpg,Primary product image does not match adidas-tacky-feeling,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0031,BLOCKER,http://127.0.0.1:3011/products/adidas-tour,/products/adidas-tour,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Tour Padel Bag: Specs, Performance & Best Uses · Kitletics",/images/padel/products/nox-at10-team-paletero-hero.jpg,Primary product image does not match adidas-tour,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0032,BLOCKER,http://127.0.0.1:3011/products/adidas-weekend-bag-martita-ortega-2026,/products/adidas-weekend-bag-martita-ortega-2026,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Adidas Weekend Bag Martita Ortega 2026: Specs, Performance & Best Uses · Kitletics",/images/padel/products/nox-at10-team-paletero-hero.jpg,Primary product image does not match adidas-weekend-bag-martita-ortega-2026,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0033,BLOCKER,http://127.0.0.1:3011/products/alacran-alacran-basket,/products/alacran-alacran-basket,product,IMAGE_WRONG_BRAND,bullpadel,"Training Ball Basket EasyPick: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,"Primary image path signals bullpadel, expected alacran",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0034,BLOCKER,http://127.0.0.1:3011/products/alacran-alacran-basket,/products/alacran-alacran-basket,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Training Ball Basket EasyPick: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match alacran-alacran-basket,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0035,HIGH,http://127.0.0.1:3011/products/alacran-alacran-basket,/products/alacran-alacran-basket,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0036,HIGH,http://127.0.0.1:3011/products/alacran-alacran-basket/alternatives,/products/alacran-alacran-basket/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
PFL-0037,BLOCKER,http://127.0.0.1:3011/products/alacran-wide-ancha,/products/alacran-wide-ancha,product,IMAGE_WRONG_BRAND,bullpadel,"Wide Wristband: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,"Primary image path signals bullpadel, expected alacran",OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0038,BLOCKER,http://127.0.0.1:3011/products/alacran-wide-ancha,/products/alacran-wide-ancha,product,IMAGE_WRONG_PRODUCT,PRIMARY_HERO_PRODUCT_MISMATCH,"Wide Wristband: Specs, Performance & Best Uses · Kitletics",/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg,Primary product image does not match alacran-wide-ancha,OPEN,CONFIRMED,"Primary hero filename does not match product/brand. Soft-goods often reuse a small set of placeholder heroes (HEAD Pro S, Wilson overgrip, Nox AT10 paletero, Bullpadel protector)."
PFL-0039,HIGH,http://127.0.0.1:3011/products/asics-gel-resolution-padel-women,/products/asics-gel-resolution-padel-women,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,Visible camelCase schema token genderFit in Padel shoe Best/PDP copy (e.g. Best Padel Shoes: “Then genderFit last”).
