category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
grips,overgrip,Wilson,Pro Padel Overgrip,Pro Padel Overgrip,current,unisex,"white; 3-pack standard (also 12/30/60 club packs — do not separate SKUs)",https://au.wilson.com/products/pro-padel-overgrip,current,"https://au.wilson.com/products/pro-padel-overgrip|https://www.wilson.com/en-gb/blog/padel/everything-you-need-know-about-wilsons-padel-pro-overgrip|https://www.padelmq.com/en-nl/",yes,yes,current,yes,prod-wilson-overgrip,"Padel-length thin stretch felt; lightly tacky default wrap; Kitletics id prod-wilson-overgrip (slug wilson-padel-overgrip-pack). Packs noted not split.",confirmed
grips,overgrip,Wilson,Pro Overgrip Perforated / Comfort,Pro Overgrip Perforated,current,unisex,"white/black; micro-perforated; 3-pack (+ bulk)",https://www.wilson.com,current_retail,"https://padelmad.co.uk/equipment/accessories/best-padel-grips-sweaty-hands-2026/",yes,yes,current,no,,"Sweat/airflow fork of Wilson Pro family (~0.55 mm class). Distinct from smooth Pro Padel; commercially meaningful for humid NL/EU halls.",confirmed
grips,overgrip,Wilson,Profile Padel Overgrip,Profile Padel,current,unisex,"black/white; 3-pack; textured tread",https://www.wilson.com,current_retail,"https://www.tradeinn.com/smashinn/en/wilson-profile-padel-overgrip/139879280/p",yes,yes,current,no,,"Ultra-thin stretchy padel-length overgrip with extra-tacky tread pattern; Tradeinn/Smashinn EU stock.",confirmed
grips,overgrip,HEAD,Xtreme Soft,Xtreme Soft / XtremeSoft,current,unisex,"white/black/colors; 1-unit and multipacks",https://www.head.com,current,"https://www.padelmq.com/en-nl/products/head-xtreme-soft-overgrip-wit|https://padel.how/equipment/overgrip/head-xtremesoft-overgrip-review/",yes,yes,current,yes,prod-head-xtreme-soft,"Soft tacky elastomer ~0.5–0.6 mm with large perforations; Kitletics prod-head-xtreme-soft (slug head-xtreme-soft-overgrip).",confirmed
grips,overgrip,HEAD,Padel Pro Perforated,Padel Pro Perforated,current,unisex,"black; perforated padel overwrap",https://www.head.com/product/padel-pro-perforated-285701,current_listed,"https://www.head.com/product/padel-pro-perforated-285701",likely,yes,current,no,,"HEAD padel-native perforated overwrap (comfort + tack + sweat). Manufacturer page referenced 2026; re-verify live PDP (404 intermittent).",needs_reverify
grips,overgrip,HEAD,Padel Pro (smooth),Padel Pro,current,unisex,"white; multipacks common",https://www.head.com,current_retail,"https://www.padelkiwi.com/en-lt/products/starvie-overgrips-tacky-touch-box-25",yes,yes,current,no,,"Smooth padel Pro overgrip line stocked EU specialists alongside perforated sibling — keep as separate model family from Xtreme Soft.",probable
grips,replacement,HEAD,Hydrosorb / Hydrosorb Comfort,Hydrosorb Comfort,current,unisex,"black; 1 unit; ~2.1 mm thick class",https://www.head.com,current_retail,"https://tennisshot.gr/en-gb/head-hydrosorb-comfort-replacement-grip-black",yes,yes,current,yes,prod-head-hydrosorb,"Base/replacement grip not overgrip; thickest Hydrosorb Comfort cushion. Kitletics prod-head-hydrosorb still draft (weak PDP).",confirmed
grips,overgrip,Bullpadel,HaC / GB1200,GB1200 HaC,current,unisex,"white; 3-pack (+ club boxes)",https://www.bullpadel.com,current,"https://www.zonadepadel.uk/bullpadel/1390-overgrips-gb1200-blancos.html|https://www.padelmq.com/en/products/bullpadel-overgrips-white",yes,yes,current,yes,prod-bullpadel-gb1200,"Absorption-first padel HaC wrap; Kitletics prod-bullpadel-gb1200 (slug bullpadel-hac-overgrip).",confirmed
grips,overgrip,Bullpadel,GB1201 Perforated,GB1201,current,unisex,"black/white; micro-perforated; 3-pack and box-50",https://www.bullpadel.com/gb/1580-grip-bullpadel-gb1201-box-50.html,current,"https://www.bullpadel.com/gb/1580-grip-bullpadel-gb1201-box-50.html",yes,yes,current,no,,"Perforated dry-touch sibling to HaC; box-50 club pack — note pack size only do not split SKU.",confirmed
grips,overgrip,Bullpadel,GB-1705 / GB series colors,GB-1705,current,unisex,"colored overgrips; 3-packs",https://www.bullpadel.com,current,"https://www.bullpadel.com/gb/1580-grip-bullpadel-gb1201-box-50.html",yes,yes,current,no,,"Colored Bullpadel overgrip SKUs in accessories range; commercially secondary to HaC/GB1201 — keep one representative color line if cataloging.",probable
grips,overgrip,Nox,Pro Overgrip,Pro Overgrip,current,unisex,"white perforated; 1/3/5 packs (also club cans)",https://noxsport.com,current,"https://www.padelmq.com/en-nl/products/nox-pro-overgrip-wit-3-pack|https://www.padelmq.com/en/products/nox-pro-overgrip-white",yes,yes,current,yes,prod-nox-pro-overgrip,"Padel-native absorbent Pro wrap; Kitletics already seeded. Pack tiers noted not split.",confirmed
grips,overgrip,Nox,H-Dri,H-Dri,current,unisex,"white; absorption-max ~0.58 mm class",https://noxsport.com,current_retail,"https://padelmad.co.uk/equipment/accessories/best-padel-grips-sweaty-hands-2026/",yes,yes,current,no,,"Sweat-first Nox overgrip distinct from Pro; high priority gap for humid players vs existing Pro only.",confirmed
grips,overgrip,Nox,Luxury Pro Grip,Luxury Pro,current,unisex,"3-pack; all-round",https://noxsport.com,current_retail,"https://padeli.com/best-padel-grips-overgrips-2026/",likely,yes,current,no,,"Buyer-guide cited Luxury Pro as Nox premium overgrip tier — confirm exact manufacturer naming vs Pro/H-Dri before publish.",needs_reverify
grips,ergonomic,Nox,Custom Grip,Custom Grip,current,unisex,"handle relief sleeve; replaces base grip",https://noxsport.com,current,"https://www.stockpadel.com/blog/en/comparison-hesacore-vs-nox-custom-grip/",yes,yes,current,no,,"Ergonomic raised custom grip system competing with Hesacore; not an overgrip. Distinct product job.",confirmed
grips,overgrip,Babolat,Pro Response,Pro Response,current,unisex,"x3; ~0.45 mm thin tacky",https://www.babolat.com/gb/pro-response-x3/653048.html,current,"https://www.babolat.com/gb/pro-response-x3/653048.html",yes,yes,current,yes,prod-babolat-pro-response,"Thin high-absorption overgrip used across racket sports including padel. Kitletics seeded.",confirmed
grips,overgrip,Babolat,Pro Tour,Pro Tour,current,unisex,"x3; comfort cushion overgrip",https://www.babolat.com,current_retail,"https://padelmad.co.uk/equipment/accessories/best-padel-overgrips-2026-complete-uk-buyers-guide/",yes,yes,current,no,,"Comfort-first Babolat overgrip frequently shortlisted 2026 guides; distinct from Pro Response thickness/feel.",confirmed
grips,overgrip,Babolat,VS Original,VS Original,current,unisex,"white; ~0.43 mm thinnest; x1/x3",https://www.babolat.com,current,"https://tennisshot.gr/en-gb/babolat-vs-original-white-x1-padel",yes,yes,current,no,,"Thinnest Babolat overgrip; dry feel / minimal size change. Strong tennis-crossover SKU on padel shelves.",confirmed
grips,replacement,Babolat,Syntec Pro,Syntec Pro,current,unisex,"1 unit; ~1.9 mm replacement base",https://www.babolat.com/us/syntec-pro/670051.html,current,"https://www.babolat.com/us/syntec-pro/670051.html",yes,yes,current,yes,prod-babolat-syntec-pro,"Replacement base grip sticky/traction; Kitletics prod-babolat-syntec-pro.",confirmed
grips,replacement,Babolat,Syntec Team / Syntec Grip,Syntec Team,current,unisex,"1 unit; softer Syntec family",https://www.babolat.com,current_retail,"https://www.babolat.com",likely,yes,current,no,,"Softer Syntec replacement sibling commonly stocked with Syntec Pro — verify exact padel-facing SKU name.",probable
grips,overgrip,Adidas,Perforated Overgrip X3,Perforated / AC2BA1WH,current,unisex,"white microperforated; 3-pack",https://www.adidas.com,current,"https://padel-spain.es/gb/accesories-of-paddle/214712-adidas-perforated-overgrip-3-pack-white-8436548248185.html|https://padellifeshop.com/product/adidas-overgrip-perforated-x3-white/",yes,yes,current,yes,prod-adidas-padel-overgrip,"Confirms Adidas padel perforated 3-pack identity for vague Kitletics adidas-padel-overgrip draft.",confirmed
grips,overgrip,Adidas,Tacky Feeling Overgrip,Tacky Feeling,current,unisex,"white; 3-pack",https://www.adidas.com,current_retail,"https://padellifeshop.com/product/adidas-overgrip-perforated-x3-white/",likely,yes,current,no,,"Some retailers label Adidas padel overgrips Tacky Feeling — may be same or adjacent SKU to Perforated; collapse if identical EAN.",needs_reverify
