id,severity,surface,url,dimension,class,evidence,screenshot,status
ISS-F001,critical,ci,n/a,CLEAN_CI,FAIL,"Sequential clean build exit 1: next/font Google loader TypeError on DM_Sans in src/app/layout.tsx after rm -rf .next; lint/typecheck/test were exit 0","/tmp/parity-final-build.log",open
ISS-F002,high,review,/reviews/bullpadel-vertex-05-2026|/reviews/kuikma-pr-comfort-soft|+10 rackets,template-glue,RUNNING_STRONGER,"Identical Power opener across ≥12 rackets: 'POWER Generic continuum — match the mould to the job you play most weeks.' Product-specific sentence follows but stem is interchangeable","crop-review-vertex-power.png;crop-review-kuikma-power.png",open
ISS-F003,high,review,/reviews/* racket estate (12),template-glue,RUNNING_STRONGER,"Identical Shape and balance opener: 'Shape changes where the usable face sits — not a brand rendering.'","review-bullpadel-vertex-05-2026-desktop-full.png",open
ISS-F004,high,review,/reviews/* racket estate (9),template-glue,RUNNING_STRONGER,"Identical Sweet spot opener: 'Sweet-spot height is a teaching idea — verify published notes on the product sheet.'","review-bullpadel-vertex-05-2026-desktop-full.png",open
ISS-F005,high,review,multiple soft-goods+shoes (13),template-glue,RUNNING_STRONGER,"Cross-category durability stem 'How the foam, upper and outsole are likely to hold up with real use.' appears on shoes AND non-shoe reviews (overgrips/balls/pressurizer)","n/a",open
ISS-F006,high,review,multiple (11),template-glue,RUNNING_STRONGER,"'Soft dailies usually fade in the foam before the upper looks worn' stamped across shoe and non-shoe padel reviews","n/a",open
ISS-F007,medium,review,/reviews/bullpadel-vertex-05-2026,decision-grammar,RUNNING_STRONGER,"Rendered Buy-if: 'I'd shortlist it if you want players who want the current Tello Vertex…' (double-person)","review-bullpadel-vertex-05-2026-desktop-fold.png",open
ISS-F008,medium,review,/reviews/kuikma-pr-comfort-soft,decision-grammar,RUNNING_STRONGER,"Rendered Buy-if: 'I'd shortlist it if you want players who want a ~350 g round…'","n/a",open
ISS-F009,medium,review,/reviews/bullpadel-indiga-ctr-2026,decision-grammar,RUNNING_STRONGER,"Rendered Buy-if: 'I'd shortlist it if you want players who want a beginner / defensive Tour racket…'; Skip-if fragment '…is most of your week.'","n/a",open
ISS-F010,low,pdp,/products/asics-gel-resolution-padel,gallery-depth,RUNNING_STRONGER,"galleryCount=0 on rendered PDP (hero-only) vs Joma gallery=2; commerce still present","pdp-padel-asics-shoe-desktop-fold.png",open-residual
ISS-F011,low,pdp,/products/bullpadel-frame-protector-uni,commerce-density,NOT_COMPARABLE,"Thin accessory: 792 words; From €7.95; no Amazon CTA; honest empty NL commerce — not a flagship gap","pdp-padel-frame-protector-desktop-fold.png",open-watch
ISS-F012,low,guide,/guides/padel-grips-overgrips-explained,above-fold-visual,RUNNING_STRONGER,"Fold lacks Running-style hero photo; teaching diagrams appear mid-page (full-page confirms layers/build-up diagrams)","guide-padel-grips-guide-desktop-fold.png;guide-padel-grips-guide-desktop-full.png",open-residual
ISS-F013,info,commerce,sample PDPs,commerce CTA,PARITY,"Vertex/Kuikma/Indiga/Joma/HEAD/NOX bag/Wilson show From-price + CTA; NOX bag price visible even if retailer name regex miss","pdp-padel-vertex-desktop-fold.png",resolved-for-gate
ISS-F014,info,mobile,representative,overflow,PARITY,"Vertex PDP/review/racket guide/best rackets + Novablast: docW=viewW=390; no overflow; diagrams legible","mobile-*-mobile-fold.png",resolved-for-gate
ISS-F015,info,media,education SVGs,render integrity,PARITY,"After scroll: education SVGs naturalWidth>0; HTTP 200; shared shapes/power/sweet-spot across reviews is intentional teaching reuse","crop-review-vertex-power.png",resolved-for-gate
ISS-F016,info,guide,/guides/how-to-choose-a-padel-racket,teaching-media,PARITY,"Full-page shows shape/sweet-spot/balance/weight teaching diagrams; concepts covered; packshots do not substitute","guide-padel-racket-guide-desktop-full.png;crop-guide-racket-shapes.png",resolved-for-gate
ISS-F017,info,best,/best/padel-*,BEST_CHIP_GRAMMAR,PARITY,"Sampled rackets/balls/pressurizers/overgrips/shoes: BEST_CHIP_GRAMMAR_DEFECTS=0 on rendered chips","best-*-desktop-full.png",resolved-for-gate
ISS-F018,info,review,all 26 estate,historical-glue,IMPROVED,"Historical stems 'I'd only keep' / 'feels generic' = 0 on all rendered estate reviews — replaced by NEW generic continuum stems (ISS-F002–F006)","n/a",observed
