"guide_slug","page_type","hero_src","hero_unique","generator_residue","numbered_heading_ok","status"
"how-to-choose-a-padel-racket","buying-guide","/images/padel/guides/choose-racket.jpg","UNIQUE","CLEAN","OK","OK"
"padel-racket-shapes-explained","buying-guide","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"round-vs-teardrop-vs-diamond-padel-rackets","buying-guide","/images/padel/products/bullpadel-hack-04-hero.png","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-racket-balance-explained","buying-guide","/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-racket-weight-explained","buying-guide","/images/padel/products/bullpadel-ionic-light-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-racket-materials-explained","buying-guide","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"carbon-vs-fiberglass-padel-rackets","buying-guide","/images/padel/products/bullpadel-hack-04-comfort-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-racket-cores-eva-foam-explained","buying-guide","/images/padel/products/nox-equation-soft-advanced-2026-hero.jpg","UNIQUE","CLEAN","OK","OK"
"soft-vs-hard-padel-rackets","buying-guide","/images/padel/products/adidas-metalbone-hrd-hero.png","UNIQUE","CLEAN","OK","OK"
"how-padel-racket-sweet-spots-work","buying-guide","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"how-to-choose-padel-shoes","buying-guide","/images/padel/guides/choose-shoes.jpg","UNIQUE","CLEAN","OK","OK"
"padel-vs-tennis-shoes","buying-guide","/images/padel/products/head-revolt-pro-court-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoe-outsoles-explained","buying-guide","/images/padel/products/joma-t-slam-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"how-long-do-padel-balls-last","buying-guide","/images/padel/products/head-padel-pro-s-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"how-to-choose-padel-balls","buying-guide","/images/padel/products/kuikma-pb-speed-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"fast-vs-standard-padel-balls","buying-guide","/images/padel/products/wilson-padel-premier-speed-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-ball-pressurizers","buying-guide","/images/padel/products/head-x3-ball-pressurizer-hero.jpg","UNIQUE","CLEAN","OK","OK"
"how-to-choose-a-padel-bag","buying-guide","/images/padel/products/nox-at10-team-paletero-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-bag-vs-backpack","buying-guide","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-racket-frame-protectors","buying-guide","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-racket-customization","buying-guide","/images/padel/products/bullpadel-protector-custom-weight-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-grips-overgrips-explained","buying-guide","/images/padel/guides/grips.jpg","UNIQUE","CLEAN","OK","OK"
"padel-grip-vs-overgrip","buying-guide","/images/padel/products/hesacore-padel-grip-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"how-often-should-you-replace-a-padel-overgrip","buying-guide","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"beginner-padel-gear-guide","buying-guide","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"complete-padel-gear-checklist","buying-guide","/images/padel/products/babolat-rh-pro-padel-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets","best-guide","/images/padel/products/bullpadel-vertex-05-hero.png","UNIQUE","CLEAN","OK","OK"
"padel-rackets-beginners","best-guide","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-intermediate","best-guide","/images/padel/products/bullpadel-ionic-light-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-advanced","best-guide","/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-control","best-guide","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-power","best-guide","/images/padel/products/bullpadel-hack-04-hero.png","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-all-round","best-guide","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-lightweight","best-guide","/images/padel/products/head-one-ultralight-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-rackets-comfort","best-guide","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-rackets-maneuverability","best-guide","/images/padel/products/babolat-air-viper-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-rackets-women","best-guide","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-rackets-value","best-guide","/images/padel/products/kuikma-pr-hybrid-carbon-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes","best-guide","/images/padel/products/asics-gel-resolution-padel-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes-men","best-guide","/images/padel/products/adidas-courtquick-padel-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes-women","best-guide","/images/padel/products/adidas-courtquick-padel-women-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes-stability","best-guide","/images/padel/products/joma-t-slam-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-shoes-comfort","best-guide","/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes-lightweight","best-guide","/images/padel/products/babolat-jet-premura-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-shoes-value","best-guide","/images/padel/products/kuikma-ps-990-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-balls","best-guide","/images/padel/products/head-padel-pro-s-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-competition-balls","best-guide","/images/padel/products/head-padel-pro-plus-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-training-balls","best-guide","/images/padel/products/tecnifibre-padel-team-balls-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-fast-balls","best-guide","/images/padel/balls/drop-shot-tournament-tech-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-value-balls","best-guide","/images/padel/products/kuikma-pb-speed-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-overgrips","best-guide","/images/padel/products/wilson-padel-overgrip-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-overgrips-sweaty-hands","best-guide","/images/padel/products/nox-pro-overgrip-hero.jpg","UNIQUE","CLEAN","OK","OK"
